arm,player,pos,year_exp,blocks_selected,selection_rate
combined,Tucker Kraft,TE,2.0,1,0.125
combined,Tyjae Spears,RB,2.0,1,0.125
combined,Tyler Warren,TE,0.0,2,0.25
combined,Tyrone Tracy Jr.,RB,1.0,2,0.25
combined,Xavier Worthy,WR,1.0,1,0.125
combined,Zay Flowers,WR,2.0,1,0.125
waiver_proxy,Aaron Jones,RB,8.0,4,0.5
waiver_proxy,Bhayshul Tuten,RB,0.0,2,0.25
waiver_proxy,Bijan Robinson,RB,2.0,2,0.25
waiver_proxy,Breece Hall,RB,3.0,2,0.25
waiver_proxy,Caleb Williams,QB,1.0,1,0.125
waiver_proxy,CeeDee Lamb,WR,5.0,5,0.625
waiver_proxy,Colston Loveland,TE,0.0,1,0.125
waiver_proxy,Dalton Kincaid,TE,2.0,2,0.25
waiver_proxy,DeVonta Smith,WR,4.0,1,0.125
waiver_proxy,Dont'e Thornton Jr.,WR,0.0,1,0.125
waiver_proxy,Dylan Sampson,RB,0.0,2,0.25
waiver_proxy,Garrett Wilson,WR,3.0,7,0.875
waiver_proxy,J.K. Dobbins,RB,5.0,1,0.125
waiver_proxy,Jalen Hurts,QB,5.0,4,0.5
waiver_proxy,James Conner,RB,8.0,3,0.375
waiver_proxy,Jauan Jennings,WR,5.0,4,0.5
waiver_proxy,Javonte Williams,RB,4.0,2,0.25
waiver_proxy,Jayden Reed,WR,2.0,1,0.125
waiver_proxy,Joe Mixon,RB,8.0,2,0.25
waiver_proxy,Josh Allen,QB,7.0,1,0.125
waiver_proxy,Josh Downs,WR,2.0,5,0.625
waiver_proxy,Josh Jacobs,RB,6.0,4,0.5
waiver_proxy,Justin Fields,QB,4.0,1,0.125
waiver_proxy,Justin Jefferson,WR,5.0,1,0.125
waiver_proxy,Kaleb Johnson,RB,0.0,3,0.375
waiver_proxy,Keon Coleman,WR,1.0,2,0.25
waiver_proxy,Lamar Jackson,QB,7.0,1,0.125
waiver_proxy,Mark Andrews,TE,7.0,5,0.625
waiver_proxy,Marvin Harrison Jr.,WR,1.0,3,0.375
waiver_proxy,Puka Nacua,WR,2.0,1,0.125
waiver_proxy,Rachaad White,RB,3.0,2,0.25
waiver_proxy,Rashid Shaheed,WR,3.0,1,0.125
waiver_proxy,Rhamondre Stevenson,RB,4.0,3,0.375
waiver_proxy,Rome Odunze,WR,1.0,5,0.625
waiver_proxy,Sam LaPorta,TE,2.0,3,0.375
waiver_proxy,Tetairoa McMillan,WR,0.0,1,0.125
waiver_proxy,Travis Etienne,RB,4.0,1,0.125
waiver_proxy,Travis Kelce,TE,12.0,3,0.375
waiver_proxy,Trey Benson,RB,1.0,3,0.375
waiver_proxy,Tyjae Spears,RB,2.0,1,0.125
waiver_proxy,Tyler Warren,TE,0.0,2,0.25
waiver_proxy,Tyrone Tracy Jr.,RB,1.0,3,0.375
waiver_proxy,Xavier Worthy,WR,1.0,1,0.125
waiver_proxy,Zay Flowers,WR,2.0,1,0.125
