"Rank","Player","Team","Position","BYE","RV","FF Pts","ADP ( Average )","ADP Dif ( Average )","ADP (Underdog)","ADP Dif (Underdog)","ADP (CBS)","ADP Dif (CBS)","ADP (ESPN)","ADP Dif (ESPN)","ADP (FFPC)","ADP Dif (FFPC)","ADP (BB10s)","ADP Dif (BB10s)","ADP (NFL)","ADP Dif (NFL)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","GC","GC Dif"
"26","James Cook","BUF","RB-14","7","93","11.2","32","6","39","13","26","0","32","6","33","7","37","11","30","4","34","8","40","14","13","-1"
"27","A.J. Brown","PHI","WR-10","9","66","12.1","19","-8","17","-10","28","1","17","-10","23","-4","19","-8","15","-12","21","-6","30","3","10","0"
"28","Kenneth Walker","SEA","RB-15","8","89","11.0","41","13","48","20","33","5","44","16","32","4","47","19","40","12","38","10","50","22","15","0"
"29","Ladd McConkey","LAC","WR-11","12","61","11.7","23","-6","21","-8","30","1","29","0","24","-5","20","-9","23","-6","22","-7","31","2","11","0"
"30","Trey McBride","ARI","TE-02","8","62","10.1","26","-4","25","-5","35","5","25","-5","12","-18","23","-7","26","-4","24","-6","18","-12","2","0"
"31","Tee Higgins","CIN","WR-12","10","62","11.8","28","-3","24","-7","32","1","26","-5","30","-1","28","-3","32","1","29","-2","38","7","12","0"
"32","Alvin Kamara","NO","RB-16","11","78","10.4","44","12","57","25","27","-5","38","6","38","6","41","9","45","13","39","7","51","19","16","0"
"33","Chuba Hubbard","CAR","RB-17","14","89","11.0","47","14","54","21","43","10","42","9","46","13","57","24","54","21","40","7","59","26","18","1"
"34","George Kittle","SF","TE-03","14","67","10.4","34","0","35","1","38","4","35","1","25","-9","33","-1","38","4","25","-9","33","-1","3","0"
"35","Jalen Hurts","PHI","QB-03","9","67","19.7","37","2","43","8","31","-4","28","-7","42","7","34","-1","34","-1","35","0","7","-28","4","1"
"36","Jayden Daniels","WAS","QB-04","12","61","19.4","30","-6","37","1","29","-7","27","-9","36","0","30","-6","27","-9","31","-5","4","-32","3","-1"
"37","Jaxon Smith-Njigba","SEA","WR-13","8","58","11.5","29","-8","31","-6","41","4","36","-1","31","-6","29","-8","39","2","30","-7","37","0","13","0"
"38","Breece Hall","NYJ","RB-18","9","66","9.7","40","2","45","7","40","2","51","13","40","2","39","1","31","-7","46","8","47","9","17","-1"
"39","TreVeyon Henderson","NE","RB-19","14","65","9.5","45","6","44","5","44","5","49","10","34","-5","51","12","58","19","50","11","52","13","20","1"
"40","Tyreek Hill","MIA","WR-14","12","48","11.0","31","-9","26","-14","39","-1","31","-9","35","-5","36","-4","36","-4","41","1","43","3","14","0"
"41","James Conner","ARI","RB-20","8","68","9.7","51","10","62","21","42","1","48","7","49","8","64","23","49","8","43","2","63","22","19","-1"
"42","Garrett Wilson","NYJ","WR-15","9","49","11.0","35","-7","34","-8","51","9","41","-1","37","-5","32","-10","37","-5","37","-5","44","2","16","1"
"43","Terry McLaurin","WAS","WR-16","12","59","11.6","43","0","40","-3","47","4","37","-6","48","5","42","-1","29","-14","42","-1","57","14","19","3"
"44","Marvin Harrison Jr.","ARI","WR-17","8","48","11.0","38","-6","30","-14","45","1","45","1","39","-5","38","-6","41","-3","36","-8","41","-3","18","1"
"45","David Montgomery","DET","RB-21","8","71","10.0","63","18","75","30","57","12","59","14","67","22","67","22","66","21","62","17","82","37","23","2"
"46","Davante Adams","LAR","WR-18","8","42","10.6","39","-7","36","-10","34","-12","34","-12","43","-3","43","-3","46","0","44","-2","58","12","17","-1"
"47","Tony Pollard","TEN","RB-22","10","72","10.0","67","20","71","24","61","14","71","24","61","14","75","28","79","32","53","6","88","41","22","0"
"48","Mike Evans","TB","WR-19","9","33","10.1","36","-12","33","-15","36","-12","40","-8","41","-7","35","-13","33","-15","33","-15","53","5","15","-4"
"49","RJ Harvey","DEN","RB-23","12","63","9.5","61","12","61","12","56","7","74","25","50","1","70","21","70","21","57","8","67","18","24","1"
"50","D.J. Moore","CHI","WR-20","5","45","10.8","46","-4","49","-1","52","2","53","3","53","3","46","-4","47","-3","56","6","68","18","20","0"
"51","Joe Burrow","CIN","QB-05","10","36","17.9","42","-9","63","12","25","-26","33","-18","44","-7","31","-20","35","-16","55","4","6","-45","5","0"
"52","Isiah Pacheco","KC","RB-24","10","62","9.4","65","13","70","18","65","13","64","12","62","10","72","20","60","8","65","13","83","31","25","1"
"53","D'Andre Swift","CHI","RB-25","5","56","9.0","60","7","68","15","49","-4","54","1","56","3","69","16","59","6","66","13","78","25","21","-4"
"54","Xavier Worthy","KC","WR-21","10","33","10.1","48","-6","41","-13","50","-4","50","-4","47","-7","53","-1","68","14","51","-3","65","11","26","5"
"55","DeVonta Smith","PHI","WR-22","9","42","10.6","52","-3","51","-4","59","4","62","7","59","4","55","0","57","2","45","-10","72","17","24","2"
"56","Courtland Sutton","DEN","WR-23","12","32","10.0","50","-6","47","-9","53","-3","57","1","52","-4","48","-8","55","-1","59","3","71","15","21","-2"
"57","Jameson Williams","DET","WR-24","8","31","10.0","53","-4","46","-11","64","7","67","10","57","0","56","-1","51","-6","58","1","76","19","25","1"
"58","DK Metcalf","PIT","WR-25","5","29","9.9","49","-9","50","-8","48","-10","47","-11","51","-7","54","-4","53","-5","49","-9","66","8","22","-3"
"59","Calvin Ridley","TEN","WR-26","10","34","10.2","59","0","52","-7","68","9","61","2","58","-1","66","7","67","8","60","1","85","26","27","1"
"60","Aaron Jones","MIN","RB-26","6","51","8.8","69","9","79","19","55","-5","69","9","70","10","73","13","76","16","69","9","89","29","26","0"
"61","Kaleb Johnson","PIT","RB-27","5","56","9.1","76","15","78","17","79","18","93","32","75","14","77","16","80","19","70","9","90","29","28","1"
"62","Sam LaPorta","DET","TE-04","8","30","8.2","56","-6","77","15","58","-4","46","-16","54","-8","44","-18","43","-19","68","6","56","-6","4","0"
"63","Zay Flowers","BAL","WR-27","7","28","9.8","57","-6","58","-5","63","0","55","-8","64","1","61","-2","72","9","52","-11","79","16","29","2"
"64","George Pickens","DAL","WR-28","10","26","9.7","55","-9","42","-22","62","-2","63","-1","55","-9","63","-1","75","11","48","-16","75","11","28","0"
"65","Tetairoa McMillan","CAR","WR-29","14","22","9.4","54","-11","38","-27","66","1","75","10","45","-20","60","-5","73","8","54","-11","60","-5","23","-6"
"66","Jaylen Warren","PIT","RB-28","5","52","8.8","84","18","88","22","87","21","85","19","83","17","96","30","107","41","75","9","110","44","29","1"
"67","Baker Mayfield","TB","QB-06","9","33","17.8","72","5","92","25","54","-13","52","-15","89","22","49","-18","61","-6","91","24","26","-41","7","1"
"68","Tyrone Tracy","NYG","RB-29","14","41","8.2","83","15","86","18","73","5","80","12","81","13","87","19","104","36","67","-1","103","35","27","-2"
"69","Patrick Mahomes","KC","QB-07","10","14","16.6","58","-11","80","11","46","-23","43","-26","74","5","45","-24","42","-27","76","7","17","-52","6","-1"
"70","Travis Hunter","JAX","WR-30","8","19","9.3","66","-4","56","-14","84","14","73","3","69","-1","76","6","63","-7","61","-9","77","7","31","1"
"71","Rome Odunze","CHI","WR-31","5","27","9.7","73","2","64","-7","98","27","76","5","79","8","74","3","89","18","63","-8","94","23","34","3"
"72","Jaylen Waddle","MIA","WR-32","12","13","8.9","64","-8","53","-19","83","11","65","-7","66","-6","65","-7","84","12","47","-25","87","15","30","-2"
"73","Rashee Rice","KC","WR-33","10","12","8.8","62","-11","55","-18","77","4","60","-13","65","-8","58","-15","44","-29","80","7","69","-4","33","0"
"74","Jordan Mason","MIN","RB-30","6","33","7.7","94","20","83","9","97","23","127","53","87","13","99","25","130","56","74","0","116","42","30","0"
"75","Ricky Pearsall","SF","WR-34","14","18","9.2","78","3","59","-16","74","-1","103","28","71","-4","83","8","111","36","71","-4","99","24","36","2"
"76","Jakobi Meyers","LV","WR-35","8","18","9.2","80","4","73","-3","80","4","82","6","80","4","84","8","119","43","79","3","102","26","39","4"
"77","Jerry Jeudy","CLE","WR-36","9","12","8.9","71","-6","72","-5","71","-6","66","-11","73","-4","68","-9","99","22","81","4","97","20","35","-1"
"78","Deebo Samuel","WAS","WR-37","12","16","9.1","79","1","65","-13","75","-3","96","18","84","6","82","4","96","18","99","21","109","31","40","3"
"79","Emeka Egbuka","TB","WR-38","9","18","9.2","82","3","60","-19","85","6","94","15","68","-11","94","15","124","45","73","-6","105","26","37","-1"
"80","Stefon Diggs","NE","WR-39","14","16","9.1","81","1","69","-11","90","10","86","6","85","5","90","10","94","14","78","-2","114","34","38","-1"
"81","Mark Andrews","BAL","TE-05","7","13","7.2","75","-6","95","14","72","-9","72","-9","77","-4","62","-19","52","-29","77","-4","91","10","7","2"
"82","Zach Charbonnet","SEA","RB-31","8","30","7.5","101","19","97","15","93","11","141","59","90","8","107","25","154","72","97","15","118","36","32","1"
"83","T.J. Hockenson","MIN","TE-06","6","9","7.0","68","-15","85","2","70","-13","56","-27","60","-23","50","-33","50","-33","72","-11","70","-13","5","-1"
"84","Bo Nix","DEN","QB-08","12","12","16.5","77","-7","94","10","69","-15","68","-16","88","4","59","-25","65","-19","82","-2","27","-57","8","0"
"85","Travis Kelce","KC","TE-07","10","7","6.9","70","-15","93","8","60","-25","58","-27","63","-22","52","-33","56","-29","87","2","73","-12","6","-1"
"86","J.K. Dobbins","DEN","RB-32","12","20","6.9","99","13","98","12","102","16","100","14","94","8","103","17","142","56","92","6","127","41","34","2"
"87","David Njoku","CLE","TE-08","9","12","7.2","90","3","120","33","76","-11","70","-17","78","-9","93","6","85","-2","94","7","100","13","8","0"
"88","Matthew Golden","GB","WR-40","5","11","8.8","88","0","66","-22","101","13","83","-5","86","-2","105","17","118","30","95","7","107","19","43","3"
"89","Tank Bigsby","JAX","RB-33","8","30","7.5","118","29","123","34","105","16","128","39","120","31","122","33","209","120","90","1","139","50","37","4"
"90","Jauan Jennings","SF","WR-41","14","10","8.7","92","2","76","-14","118","28","115","25","95","5","89","-1","110","20","84","-6","115","25","42","1"
"91","Kyler Murray","ARI","QB-09","8","7","16.2","87","-4","96","5","82","-9","77","-14","99","8","71","-20","81","-10","98","7","35","-56","9","0"
"92","Javonte Williams","DAL","RB-34","10","18","6.8","111","19","132","40","109","17","106","14","108","16","119","27","148","56","115","23","126","34","33","-1"
"93","Chris Olave","NO","WR-42","11","0","8.1","74","-19","67","-26","100","7","84","-9","82","-11","79","-14","87","-6","64","-29","98","5","32","-10"
"94","Cam Skattebo","NYG","RB-35","14","13","6.5","107","13","117","23","115","21","116","22","106","12","115","21","101","7","120","26","120","26","39","4"
"95","Austin Ekeler","WAS","RB-36","12","27","7.4","125","30","141","46","92","-3","99","4","124","29","155","60","149","54","131","36","145","50","38","2"
"96","Cooper Kupp","SEA","WR-43","8","8","8.6","95","-1","99","3","94","-2","81","-15","102","6","106","10","108","12","119","23","119","23","48","5"
"97","Tyler Warren","IND","TE-09","11","4","6.7","89","-8","89","-8","99","2","87","-10","72","-25","91","-6","91","-6","113","16","86","-11","11","2"
"98","Jayden Reed","GB","WR-44","5","11","8.8","105","7","81","-17","133","35","125","27","112","14","102","4","132","34","104","6","128","30","45","1"
"99","Braelon Allen","NYJ","RB-37","9","23","7.1","130","31","134","35","127","28","160","61","114","15","152","53","201","102","88","-11","156","57","40","3"
"100","Justin Fields","NYJ","QB-10","9","6","16.2","100","0","109","9","112","12","118","18","115","15","97","-3","64","-36","101","1","54","-46","12","2"
"101","Evan Engram","DEN","TE-10","12","0","6.5","86","-15","104","3","95","-6","78","-23","76","-25","80","-21","74","-27","93","-8","92","-9","9","-1"
"102","Tucker Kraft","GB","TE-11","5","5","6.8","103","1","114","12","113","11","107","5","91","-11","110","8","115","13","85","-17","112","10","10","-1"
"103","Jordan Addison","MIN","WR-45","6","-1","8.1","85","-18","74","-29","103","0","108","5","92","-11","85","-18","95","-8","83","-20","104","1","41","-4"
"104","Jacory Croskey-Merritt","WAS","RB-38","12","11","6.4","116","12","107","3","81","-23","95","-9","110","6","179","75","155","51","117","13","160","56","35","-3"
"105","Khalil Shakir","BUF","WR-46","7","-1","8.1","93","-12","82","-23","116","11","105","0","101","-4","98","-7","102","-3","106","1","124","19","44","-2"
"106","Josh Downs","IND","WR-47","11","4","8.4","108","2","84","-22","129","23","138","32","116","10","104","-2","139","33","107","1","129","23","46","-1"
"107","Brock Purdy","SF","QB-11","14","0","15.8","96","-11","101","-6","88","-19","79","-28","111","4","86","-21","106","-1","86","-21","42","-65","11","0"
"108","Keon Coleman","BUF","WR-48","7","3","8.3","106","-2","87","-21","117","9","112","4","107","-1","117","9","138","30","121","13","130","22","50","2"
"109","Jared Goff","DET","QB-12","8","-1","15.7","102","-7","121","12","89","-20","119","10","129","20","78","-31","103","-6","111","2","49","-60","16","4"
"110","Travis Etienne","JAX","RB-39","8","-5","5.5","98","-12","102","-8","91","-19","117","7","93","-17","109","-1","120","10","96","-14","108","-2","31","-8"
"111","Nick Chubb","HOU","RB-40","6","13","6.5","144","33","159","48","121","10","148","37","144","33","171","60","185","74","150","39","158","47","50","10"
"112","Dak Prescott","DAL","QB-13","10","-6","15.4","97","-15","103","-9","78","-34","101","-11","98","-14","88","-24","117","5","89","-23","46","-66","10","-3"
"113","Trey Benson","ARI","RB-41","8","13","6.5","142","29","139","26","150","37","154","41","122","9","130","17","231","118","144","31","142","29","46","5"
"114","Rashid Shaheed","NO","WR-49","11","1","8.2","120","6","105","-9","159","45","129","15","128","14","127","13","181","67","108","-6","144","30","52","3"
"115","Jordan Love","GB","QB-14","5","1","15.9","122","7","128","13","125","10","134","19","146","31","112","-3","141","26","110","-5","62","-53","17","3"
"116","Tyjae Spears","TEN","RB-42","10","9","6.3","139","23","158","42","153","37","144","28","136","20","142","26","195","79","129","13","148","32","44","2"
"117","Dallas Goedert","PHI","TE-12","9","3","6.7","129","12","142","25","124","7","130","13","121","4","134","17","140","23","116","-1","131","14","14","2"
"118","Quinshon Judkins","CLE","RB-43","9","-1","5.7","117","-1","131","13","108","-10","123","5","105","-13","113","-5","97","-21","163","45","106","-12","41","-2"
"119","Justin Herbert","LAC","QB-15","12","-6","15.5","109","-10","127","8","120","1","89","-30","130","11","101","-18","123","4","105","-14","39","-80","14","-1"
"120","Dylan Sampson","CLE","RB-44","9","19","6.8","167","47","143","23","177","57","0","-120","137","17","151","31","255","135","124","4","162","42","54","10"
"121","Caleb Williams","CHI","QB-16","5","-7","15.4","110","-11","113","-8","122","1","109","-12","123","2","100","-21","114","-7","102","-19","45","-76","13","-3"
"122","Jerome Ford","CLE","RB-45","9","10","6.3","151","29","170","48","145","23","166","44","149","27","160","38","247","125","127","5","168","46","52","7"
"123","Rachaad White","TB","RB-46","9","3","5.9","140","17","166","43","134","11","147","24","147","24","149","26","146","23","128","5","157","34","43","-3"
"124","Brian Robinson","SF","RB-47","14","-11","5.1","115","-9","118","-6","119","-5","153","29","109","-15","92","-32","100","-24","142","18","113","-11","48","1"
"125","Drake Maye","NE","QB-17","14","-11","15.2","114","-11","111","-14","130","5","131","6","118","-7","108","-17","144","19","100","-25","48","-77","15","-2"
"126","Tyler Allgeier","ATL","RB-48","5","5","6.1","150","24","155","29","169","43","163","37","151","25","172","46","178","52","148","22","169","43","51","3"
"127","Ray Davis","BUF","RB-49","7","2","5.8","147","20","138","11","162","35","195","68","143","16","150","23","215","88","138","11","161","34","47","-2"
"128","Jake Ferguson","DAL","TE-13","10","-8","6.0","123","-5","137","9","138","10","132","4","100","-28","131","3","159","31","112","-16","123","-5","12","-1"
"129","Colston Loveland","CHI","TE-14","5","-17","5.5","112","-17","110","-19","128","-1","111","-18","96","-33","125","-4","113","-16","130","1","111","-18","15","1"
"130","Dalton Kincaid","BUF","TE-15","7","-13","5.7","119","-11","133","3","141","11","126","-4","103","-27","132","2","128","-2","118","-12","121","-9","13","-2"
"131","Michael Pittman Jr.","IND","WR-50","11","-21","6.9","104","-27","90","-41","96","-35","92","-39","104","-27","114","-17","167","36","114","-17","132","1","47","-3"
"132","Rhamondre Stevenson","NE","RB-50","14","-17","4.7","113","-19","126","-6","110","-22","110","-22","125","-7","120","-12","127","-5","103","-29","138","6","36","-14"
"133","Chris Godwin","TB","WR-51","9","3","8.3","156","23","100","-33","107","-26","88","-45","117","-16","95","-38","0","-133","0","-133","122","-11","45","-6"
"134","Jaydon Blue","DAL","RB-51","10","-7","5.4","131","-3","146","12","137","3","158","24","113","-21","137","3","153","19","139","5","134","0","49","-2"
"135","Emari Demercado","ARI","RB-52","8","-6","5.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","106","54"
"136","C.J. Stroud","HOU","QB-18","6","-14","15.0","121","-15","135","-1","132","-4","142","6","142","6","116","-20","133","-3","132","-4","55","-81","19","1"
"137","Darnell Mooney","ATL","WR-52","5","-11","7.5","126","-11","106","-31","123","-14","135","-2","133","-4","124","-13","180","43","134","-3","143","6","51","-1"
"138","J.J. McCarthy","MIN","QB-19","6","-15","15.0","124","-14","124","-14","148","10","133","-5","134","-4","118","-20","152","14","125","-13","61","-77","20","1"
"139","Najee Harris","LAC","RB-53","12","-8","5.3","135","-4","162","23","135","-4","170","31","148","9","126","-13","116","-23","181","42","152","13","45","-8"
"140","Keenan Allen","LAC","WR-53","12","-9","7.6","137","-3","122","-18","149","9","122","-18","138","-2","148","8","228","88","143","3","167","27","63","10"
"141","Hunter Henry","NE","TE-16","14","-4","6.2","149","8","161","20","156","15","156","15","139","-2","168","27","172","31","136","-5","153","12","17","1"
"142","Marvin Mims","DEN","WR-54","12","-12","7.4","133","-9","119","-23","167","25","167","25","141","-1","136","-6","173","31","151","9","151","9","55","1"
"143","Cedric Tillman","CLE","WR-55","9","-3","8.0","158","15","153","10","204","61","168","25","154","11","157","14","316","173","149","6","175","32","59","4"
"144","Kyle Pitts","ATL","TE-17","5","-19","5.4","132","-12","140","-4","146","2","140","-4","119","-25","144","0","129","-15","160","16","125","-19","16","-1"
"145","Trevor Lawrence","JAX","QB-20","8","-17","14.8","136","-9","130","-15","147","2","169","24","145","0","121","-24","176","31","133","-12","64","-81","18","-2"
"146","Rico Dowdle","CAR","RB-54","14","1","5.8","172","26","178","32","208","62","0","-146","167","21","167","21","217","71","158","12","184","38","55","1"
"147","Jonnu Smith","PIT","TE-18","5","-12","5.8","146","-1","181","34","180","33","181","34","156","9","146","-1","86","-61","154","7","137","-10","20","2"
"148","Christian Kirk","HOU","WR-56","6","-23","6.8","128","-20","116","-32","136","-12","177","29","132","-16","129","-19","171","23","135","-13","159","11","53","-3"
"149","Ollie Gordon","MIA","RB-55","12","-3","5.5","170","21","160","11","139","-10","206","57","177","28","204","55","258","109","187","38","202","53","59","4"
"150","Rashod Bateman","BAL","WR-57","7","-23","6.8","141","-9","115","-35","142","-8","175","25","153","3","143","-7","183","33","126","-24","164","14","56","-1"
"151","Zach Ertz","WAS","TE-19","12","-21","5.2","145","-6","164","13","114","-37","157","6","131","-20","161","10","164","13","147","-4","140","-11","18","-1"
"152","Jayden Higgins","HOU","WR-58","6","-28","6.5","127","-25","91","-61","164","12","137","-15","127","-25","138","-14","205","53","146","-6","136","-16","58","0"
"153","Geno Smith","LV","QB-21","8","-20","14.6","162","9","163","10","174","21","204","51","191","38","153","0","203","50","145","-8","95","-58","24","3"
"154","Wan'Dale Robinson","NYG","WR-59","14","-22","6.9","161","7","168","14","160","6","174","20","168","14","170","16","253","99","170","16","181","27","61","2"
"155","Brenton Strange","JAX","TE-20","8","-21","5.2","164","9","154","-1","185","30","214","59","135","-20","176","21","251","96","164","9","154","-1","19","-1"
"156","Will Shipley","PHI","RB-56","9","-19","4.6","169","13","171","15","211","55","224","68","165","9","196","40","305","149","165","9","192","36","63","7"
"157","Bhayshul Tuten","JAX","RB-57","8","-32","3.8","138","-19","129","-28","152","-5","189","32","126","-31","154","-3","161","4","109","-48","147","-10","53","-4"
"158","Hollywood Brown","KC","WR-60","10","-29","6.4","148","-10","145","-13","215","57","171","13","161","3","156","-2","122","-36","174","16","177","19","64","4"
"159","Romeo Doubs","GB","WR-61","5","-21","6.9","174","15","151","-8","201","42","0","-159","175","16","173","14","229","70","175","16","190","31","60","-1"
"160","Roschon Johnson","CHI","RB-58","5","-14","4.9","186","26","204","44","209","49","0","-160","179","19","189","29","295","135","169","9","189","29","58","0"
"161","Kendre Miller","NO","RB-59","11","-3","5.5","212","51","223","62","192","31","0","-161","196","35","262","101","0","-161","228","67","233","72","68","9"
"162","Jaylen Wright","MIA","RB-60","12","-25","4.3","166","4","203","41","203","41","173","11","162","0","178","16","239","77","166","4","182","20","57","-3"
"163","Tua Tagovailoa","MIA","QB-22","12","-30","14.0","152","-11","157","-6","154","-9","164","1","183","20","133","-30","194","31","155","-8","81","-82","21","-1"
"164","Isaiah Likely","BAL","TE-21","7","-28","4.8","165","1","172","8","188","24","199","35","155","-9","177","13","160","-4","234","70","155","-9","21","0"
"165","Cade Otton","TB","TE-22","9","-20","5.3","192","27","176","11","0","-165","187","22","166","1","188","23","211","46","0","-165","172","7","23","1"
"166","Chigoziem Okonkwo","TEN","TE-23","10","-22","5.2","189","23","167","1","0","-166","0","-166","152","-14","187","21","220","54","157","-9","171","5","22","-1"
"167","Bryce Young","CAR","QB-23","14","-41","13.4","154","-13","150","-17","191","24","190","23","169","2","147","-20","192","25","137","-30","80","-87","22","-1"
"168","Kenneth Gainwell","PIT","RB-61","5","-27","4.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","82","21"
"169","Pat Freiermuth","PIT","TE-24","5","-24","5.1","185","16","230","61","0","-169","198","29","190","21","185","16","175","6","226","57","179","10","26","2"
"170","Michael Penix Jr.","ATL","QB-24","5","-43","13.3","153","-17","144","-26","175","5","176","6","158","-12","141","-29","188","18","141","-29","74","-96","23","-1"
"171","Justice Hill","BAL","RB-62","7","-6","5.4","234","63","228","57","0","-171","0","-171","187","16","195","24","234","63","0","-171","197","26","65","3"
"172","Joshua Palmer","BUF","WR-62","7","-30","6.4","184","12","136","-36","0","-172","0","-172","160","-12","175","3","235","63","152","-20","178","6","68","6"
"173","Brandon Aiyuk","SF","WR-63","14","-58","4.7","134","-39","125","-48","158","-15","162","-11","150","-23","140","-33","125","-48","140","-33","146","-27","54","-9"
"174","Adam Thielen","MIN","WR-64","6","-48","5.3","157","-17","169","-5","172","-2","151","-23","170","-4","169","-5","208","34","171","-3","180","6","65","1"
"175","Matthew Stafford","LAR","QB-25","8","-49","13.0","160","-15","175","0","163","-12","165","-10","193","18","158","-17","168","-7","153","-22","96","-79","25","0"
"176","Emanuel Wilson","GB","RB-63","5","-30","4.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","88","25"
"177","Sam Darnold","SEA","QB-26","8","-40","13.5","178","1","179","2","0","-177","200","23","203","26","164","-13","199","22","220","43","101","-76","27","1"
"178","Woody Marks","HOU","RB-64","6","-18","4.7","223","45","180","2","0","-178","0","-178","164","-14","193","15","0","-178","173","-5","203","25","61","-3"
"179","DeAndre Hopkins","BAL","WR-65","7","-27","6.6","202","23","202","23","0","-179","0","-179","217","38","210","31","190","11","213","34","206","27","71","6"
"180","Kyle Williams","NE","WR-66","14","-36","6.0","188","8","148","-32","0","-180","0","-180","173","-7","184","4","222","42","188","8","173","-7","66","0"
"181","Cam Ward","TEN","QB-27","10","-56","12.5","155","-26","152","-29","182","1","172","-9","174","-7","159","-22","165","-16","178","-3","84","-97","26","-1"
"182","Keaton Mitchell","BAL","RB-65","7","-30","4.0","205","23","184","2","0","-182","0","-182","171","-11","225","43","285","103","225","43","211","29","70","5"
