"Rank","Player","Team","BYE","Position-Rank","FF Pts","VOR","ADP ( Average )","ADP Dif ( Average )","ADP (BB10s)","ADP Dif (BB10s)","ADP (CBS)","ADP Dif (CBS)","ADP (Drafters)","ADP Dif (Drafters)","ADP (ESPN)","ADP Dif (ESPN)","ADP (Fantrax)","ADP Dif (Fantrax)","ADP (FFPC)","ADP Dif (FFPC)","ADP (NFFC)","ADP Dif (NFFC)","ADP (NFL)","ADP Dif (NFL)","ADP (Sleeper)","ADP Dif (Sleeper)","ADP (Underdog)","ADP Dif (Underdog)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","ADP (FFPC SF)","ADP Dif (FFPC SF)","ADP (Sleeper SF)","ADP Dif (Sleeper SF)","GC","GC Dif"
"15","Justin Jefferson","MIN","6","WR-06","241.7","81","11","-4","0","-15","0","-15","9","-6","11","-4","12","-3","12","-3","11","-4","0","-15","0","-15","10","-5","11","-4","20","5","20","5","0","-15","10","-5"
"16","Saquon Barkley","PHI","10","RB-10","223.3","83","15","-1","0","-16","0","-16","13","-3","14","-2","17","1","18","2","17","1","0","-16","0","-16","13","-3","16","0","27","11","27","11","0","-16","19","3"
"17","CeeDee Lamb","DAL","14","WR-07","227.9","67","9","-8","0","-17","0","-17","11","-6","9","-8","11","-6","13","-4","10","-7","0","-17","0","-17","9","-8","7","-10","21","4","21","4","0","-17","8","-9"
"18","Kenneth Walker","KC","5","RB-11","220.5","80","19","1","0","-18","0","-18","15","-3","28","10","20","2","19","1","18","0","0","-18","0","-18","15","-3","20","2","30","12","30","12","0","-18","24","6"
"19","Jeremiyah Love","ARI","14","RB-12","227.8","88","24","5","0","-19","0","-19","27","8","15","-4","29","10","25","6","25","6","0","-19","0","-19","24","5","25","6","37","18","37","18","0","-19","32","13"
"20","A.J. Brown","NE","11","WR-08","241.1","80","20","0","0","-20","0","-20","16","-4","25","5","18","-2","20","0","19","-1","0","-20","0","-20","19","-1","29","9","34","14","34","14","0","-20","16","-4"
"21","Derrick Henry","BAL","13","RB-13","208.8","69","21","0","0","-21","0","-21","21","0","16","-5","22","1","22","1","22","1","0","-21","0","-21","18","-3","27","6","32","11","32","11","0","-21","23","2"
"22","Kyren Williams","LAR","11","RB-14","221.6","81","31","9","0","-22","0","-22","31","9","35","13","27","5","32","10","31","9","0","-22","0","-22","31","9","37","15","52","30","52","30","0","-22","33","11"
"23","Trey McBride","ARI","14","TE-01","218.0","64","23","0","0","-23","0","-23","29","6","19","-4","21","-2","15","-8","24","1","0","-23","0","-23","28","5","22","-1","18","-5","18","-5","0","-23","22","-1"
"24","George Pickens","DAL","14","WR-09","220.7","60","25","1","0","-24","0","-24","25","1","27","3","25","1","28","4","23","-1","0","-24","0","-24","23","-1","21","-3","44","20","44","20","0","-24","21","-3"
"25","Nico Collins","HOU","8","WR-10","217.5","57","22","-3","0","-25","0","-25","22","-3","22","-3","23","-2","24","-1","21","-4","0","-25","0","-25","22","-3","17","-8","39","14","39","14","0","-25","15","-10"
"26","Breece Hall","NYJ","13","RB-15","201.8","62","30","4","0","-26","0","-26","32","6","31","5","30","4","27","1","30","4","0","-26","0","-26","27","1","39","13","41","15","41","15","0","-26","37","11"
"27","Josh Allen","BUF","7","QB-01","345.1","60","29","2","0","-27","0","-27","26","-1","21","-6","32","5","31","4","29","2","0","-27","0","-27","35","8","23","-4","2","-25","2","-25","0","-27","26","-1"
"28","Josh Jacobs","GB","11","RB-16","207.2","67","35","7","0","-28","0","-28","43","15","24","-4","39","11","37","9","41","13","0","-28","0","-28","41","13","30","2","56","28","56","28","0","-28","36","8"
"29","DeVonta Smith","PHI","10","WR-11","218.5","58","27","-2","0","-29","0","-29","23","-6","32","3","28","-1","29","0","28","-1","0","-29","0","-29","26","-3","28","-1","50","21","50","21","0","-29","28","-1"
"30","Chris Olave","NO","8","WR-12","218.9","58","28","-2","0","-30","0","-30","28","-2","30","0","26","-4","30","0","27","-3","0","-30","0","-30","29","-1","26","-4","48","18","48","18","0","-30","25","-5"
"31","Rashee Rice","KC","5","WR-13","217.3","56","26","-5","0","-31","0","-31","24","-7","23","-8","24","-7","26","-5","26","-5","0","-31","0","-31","25","-6","31","0","43","12","43","12","0","-31","27","-4"
"32","Cam Skattebo","NYG","8","RB-17","211.6","71","43","11","0","-32","0","-32","46","14","38","6","41","9","38","6","44","12","0","-32","0","-32","43","11","50","18","54","22","54","22","0","-32","50","18"
"33","Garrett Wilson","NYJ","13","WR-14","223.6","63","38","5","0","-33","0","-33","36","3","36","3","38","5","40","7","37","4","0","-33","0","-33","40","7","35","2","64","31","64","31","0","-33","38","5"
"34","Brock Bowers","LV","13","TE-02","200.2","46","17","-17","0","-34","0","-34","19","-15","20","-14","16","-18","8","-26","20","-14","0","-34","0","-34","21","-13","18","-16","10","-24","10","-24","0","-34","17","-17"
"35","Travis Etienne","NO","8","RB-18","197.4","57","36","1","0","-35","0","-35","38","3","40","5","33","-2","34","-1","40","5","0","-35","0","-35","34","-1","38","3","55","20","55","20","0","-35","46","11"
"36","Javonte Williams","DAL","14","RB-19","195.1","55","34","-2","0","-36","0","-36","37","1","34","-2","31","-5","35","-1","36","0","0","-36","0","-36","37","1","41","5","53","17","53","17","0","-36","42","6"
"37","Zay Flowers","BAL","13","WR-15","211.2","50","32","-5","0","-37","0","-37","30","-7","41","4","37","0","36","-1","32","-5","0","-37","0","-37","30","-7","42","5","57","20","57","20","0","-37","31","-6"
"38","Tee Higgins","CIN","6","WR-16","213.6","53","37","-1","0","-38","0","-38","35","-3","46","8","36","-2","42","4","35","-3","0","-38","0","-38","32","-6","34","-4","61","23","61","23","0","-38","29","-9"
"39","Jaylen Waddle","DEN","10","WR-17","217.1","56","44","5","0","-39","0","-39","39","0","56","17","46","7","48","9","43","4","0","-39","0","-39","42","3","45","6","74","35","74","35","0","-39","44","5"
"40","Ladd McConkey","LAC","7","WR-18","214.2","53","42","2","0","-40","0","-40","34","-6","52","12","57","17","41","1","38","-2","0","-40","0","-40","36","-4","40","0","60","20","60","20","0","-40","39","-1"
"41","Tetairoa McMillan","CAR","5","WR-19","212.3","51","39","-2","0","-41","0","-41","44","3","37","-4","35","-6","43","2","34","-7","0","-41","0","-41","39","-2","32","-9","65","24","65","24","0","-41","30","-11"
"42","Quinshon Judkins","CLE","11","RB-20","200.6","60","53","11","0","-42","0","-42","56","14","51","9","54","12","45","3","53","11","0","-42","0","-42","53","11","60","18","67","25","67","25","0","-42","52","10"
"43","D'Andre Swift","CHI","10","RB-21","192.0","52","49","6","0","-43","0","-43","47","4","62","19","49","6","47","4","54","11","0","-43","0","-43","51","8","54","11","70","27","70","27","0","-43","56","13"
"44","David Montgomery","HOU","8","RB-22","190.4","50","50","6","0","-44","0","-44","49","5","63","19","48","4","46","2","47","3","0","-44","0","-44","48","4","65","21","69","25","69","25","0","-44","62","18"
"45","Bucky Irving","TB","10","RB-23","191.9","52","55","10","0","-45","0","-45","60","15","49","4","58","13","52","7","57","12","0","-45","0","-45","54","9","47","2","77","32","77","32","0","-45","54","9"
"46","Colston Loveland","CHI","10","TE-03","192.9","39","41","-5","0","-46","0","-46","41","-5","39","-7","42","-4","23","-23","46","0","0","-46","0","-46","47","1","36","-10","35","-11","35","-11","0","-46","40","-6"
"47","TreVeyon Henderson","NE","11","RB-24","188.6","48","51","4","0","-47","0","-47","58","11","55","8","44","-3","51","4","52","5","0","-47","0","-47","52","5","56","9","78","31","78","31","0","-47","58","11"
"48","Davante Adams","LAR","11","WR-20","201.8","41","46","-2","0","-48","0","-48","48","0","42","-6","47","-1","55","7","48","0","0","-48","0","-48","50","2","44","-4","83","35","83","35","0","-48","48","0"
"49","Terry McLaurin","WAS","7","WR-21","200.3","39","45","-4","0","-49","0","-49","40","-9","48","-1","51","2","50","1","45","-4","0","-49","0","-49","45","-4","48","-1","76","27","76","27","0","-49","47","-2"
"50","Emeka Egbuka","TB","10","WR-22","180.6","20","40","-10","0","-50","0","-50","33","-17","44","-6","40","-10","39","-11","33","-17","0","-50","0","-50","33","-17","51","1","62","12","62","12","0","-50","41","-9"
"51","Lamar Jackson","BAL","13","QB-02","321.5","37","48","-3","0","-51","0","-51","50","-1","33","-18","45","-6","61","10","61","10","0","-51","0","-51","55","4","33","-18","6","-45","6","-45","0","-51","34","-17"
"52","Bhayshul Tuten","JAX","7","RB-25","189.2","49","60","8","0","-52","0","-52","52","0","68","16","62","10","53","1","63","11","0","-52","0","-52","56","4","63","11","75","23","75","23","0","-52","64","12"
"53","Luther Burden","CHI","10","WR-23","192.1","31","47","-6","0","-53","0","-53","45","-8","67","14","43","-10","49","-4","42","-11","0","-53","0","-53","44","-9","46","-7","71","18","71","18","0","-53","49","-4"
"54","Tyler Warren","IND","13","TE-04","188.9","35","52","-2","0","-54","0","-54","59","5","43","-11","53","-1","33","-21","60","6","0","-54","0","-54","64","10","57","3","46","-8","46","-8","0","-54","57","3"
"55","Jaylen Warren","PIT","9","RB-26","189.5","49","68","13","0","-55","0","-55","69","14","83","28","72","17","68","13","69","14","0","-55","0","-55","74","19","72","17","91","36","91","36","0","-55","70","15"
"56","Jameson Williams","DET","6","WR-24","190.7","30","54","-2","0","-56","0","-56","54","-2","60","4","50","-6","60","4","49","-7","0","-56","0","-56","49","-7","52","-4","87","31","87","31","0","-56","51","-5"
"57","Jadarian Price","SEA","11","RB-27","183.6","43","65","8","0","-57","0","-57","67","10","57","0","66","9","63","6","67","10","0","-57","0","-57","62","5","68","11","86","29","86","29","0","-57","67","10"
"58","Christian Watson","GB","11","WR-25","196.5","36","62","4","0","-58","0","-58","55","-3","84","26","59","1","59","1","50","-8","0","-58","0","-58","58","0","59","1","88","30","88","30","0","-58","59","1"
"59","Malik Nabers","NYG","8","WR-26","165.0","4","33","-26","0","-59","0","-59","42","-17","29","-30","34","-25","44","-15","39","-20","0","-59","0","-59","38","-21","24","-35","63","4","63","4","0","-59","43","-16"
"60","Drake Maye","NE","11","QB-03","300.0","15","57","-3","0","-60","0","-60","65","5","45","-15","52","-8","66","6","59","-1","0","-60","0","-60","65","5","43","-17","7","-53","7","-53","0","-60","35","-25"
"61","D.J. Moore","BUF","7","WR-27","174.5","13","56","-5","0","-61","0","-61","53","-8","58","-3","56","-5","54","-7","55","-6","0","-61","0","-61","57","-4","55","-6","82","21","82","21","0","-61","61","0"
"62","Mike Evans","SF","8","WR-28","173.6","13","58","-4","0","-62","0","-62","51","-11","70","8","60","-2","56","-6","51","-11","0","-62","0","-62","46","-16","66","4","85","23","85","23","0","-62","55","-7"
"63","Rhamondre Stevenson","NE","11","RB-28","188.6","48","81","18","0","-63","0","-63","75","12","105","42","79","16","73","10","83","20","0","-63","0","-63","77","14","83","20","102","39","102","39","0","-63","76","13"
"64","Tony Pollard","TEN","9","RB-29","177.0","37","74","10","0","-64","0","-64","71","7","81","17","83","19","70","6","77","13","0","-64","0","-64","72","8","88","24","92","28","92","28","0","-64","75","11"
"65","Joe Burrow","CIN","6","QB-04","296.8","12","59","-6","0","-65","0","-65","68","3","50","-15","55","-10","69","4","56","-9","0","-65","0","-65","67","2","49","-16","14","-51","14","-51","0","-65","45","-20"
"66","Jayden Daniels","WAS","7","QB-05","298.6","14","64","-2","0","-66","0","-66","63","-3","47","-19","63","-3","75","9","71","5","0","-66","0","-66","66","0","53","-13","11","-55","11","-55","0","-66","53","-13"
"67","Rico Dowdle","PIT","9","RB-30","188.9","49","86","19","0","-67","0","-67","89","22","91","24","97","30","83","16","95","28","0","-67","0","-67","87","20","74","7","104","37","104","37","0","-67","83","16"
"68","Tucker Kraft","GB","11","TE-05","183.6","30","73","5","0","-68","0","-68","78","10","100","32","74","6","62","-6","81","13","0","-68","0","-68","82","14","64","-4","72","4","72","4","0","-68","66","-2"
"69","Jalen Hurts","PHI","10","QB-06","297.7","13","67","-2","0","-69","0","-69","73","4","53","-16","70","1","86","17","79","10","0","-69","0","-69","71","2","62","-7","16","-53","16","-53","0","-69","60","-9"
"70","Rome Odunze","CHI","10","WR-29","170.6","10","61","-9","0","-70","0","-70","57","-13","65","-5","61","-9","64","-6","58","-12","0","-70","0","-70","60","-10","58","-12","89","19","89","19","0","-70","63","-7"
"71","Carnell Tate","TEN","9","WR-30","170.6","10","63","-8","0","-71","0","-71","61","-10","54","-17","65","-6","67","-4","62","-9","0","-71","0","-71","59","-12","67","-4","90","19","90","19","0","-71","69","-2"
"72","Harold Fannin","CLE","11","TE-06","176.9","23","79","7","0","-72","0","-72","108","36","59","-13","69","-3","58","-14","89","17","0","-72","0","-72","103","31","80","8","80","8","80","8","0","-72","80","8"
"73","Brian Thomas Jr.","JAX","7","WR-31","171.3","10","69","-4","0","-73","0","-73","62","-11","92","19","67","-6","71","-2","64","-9","0","-73","0","-73","61","-12","91","18","95","22","95","22","0","-73","78","5"
"74","Kenneth Gainwell","TB","10","RB-31","181.4","41","93","19","0","-74","0","-74","88","14","99","25","106","32","84","10","90","16","0","-74","0","-74","108","34","103","29","111","37","111","37","0","-74","103","29"
"75","Parker Washington","JAX","7","WR-32","171.5","10","75","0","0","-75","0","-75","64","-11","96","21","80","5","78","3","66","-9","0","-75","0","-75","68","-7","94","19","105","30","105","30","0","-75","87","12"
"76","Sam LaPorta","DET","6","TE-07","172.0","18","84","8","0","-76","0","-76","85","9","66","-10","95","19","65","-11","103","27","0","-76","0","-76","96","20","84","8","84","8","84","8","0","-76","84","8"
"77","DK Metcalf","PIT","9","WR-33","171.4","10","76","-1","0","-77","0","-77","76","-1","75","-2","77","0","94","17","68","-9","0","-77","0","-77","78","1","82","5","115","38","115","38","0","-77","74","-3"
"78","Chris Godwin","TB","10","WR-34","177.1","16","88","10","0","-78","0","-78","84","6","95","17","93","15","95","17","88","10","0","-78","0","-78","88","10","85","7","120","42","120","42","0","-78","85","7"
"79","Chuba Hubbard","CAR","5","RB-32","145.6","5","71","-8","0","-79","0","-79","77","-2","73","-6","86","7","76","-3","78","-1","0","-79","0","-79","76","-3","61","-18","101","22","101","22","0","-79","77","-2"
"80","Jordyn Tyson","NO","8","WR-35","165.7","5","70","-10","0","-80","0","-80","70","-10","79","-1","82","2","77","-3","74","-6","0","-80","0","-80","63","-17","73","-7","99","19","99","19","0","-80","89","9"
"81","Kyle Pitts","ATL","11","TE-08","163.4","10","80","-1","0","-81","0","-81","95","14","61","-20","81","0","57","-24","85","4","0","-81","0","-81","106","25","87","6","79","-2","79","-2","0","-81","82","1"
"82","Justin Herbert","LAC","7","QB-07","290.9","6","82","0","0","-82","0","-82","81","-1","117","35","78","-4","87","5","75","-7","0","-82","0","-82","81","-1","69","-13","23","-59","23","-59","0","-82","68","-14"
"83","Caleb Williams","CHI","10","QB-08","287.2","2","72","-11","0","-83","0","-83","72","-11","90","7","64","-19","85","2","73","-10","0","-83","0","-83","70","-13","76","-7","19","-64","19","-64","0","-83","65","-18"
"84","Michael Pittman Jr.","PIT","9","WR-36","168.1","7","91","7","0","-84","0","-84","90","6","76","-8","99","15","101","17","86","2","0","-84","0","-84","99","15","105","21","125","41","125","41","0","-84","93","9"
"85","Dak Prescott","DAL","14","QB-09","288.4","4","83","-2","0","-85","0","-85","83","-2","86","1","76","-9","90","5","87","2","0","-85","0","-85","80","-5","89","4","25","-60","25","-60","0","-85","79","-6"
"86","RJ Harvey","DEN","10","RB-33","144.4","4","85","-1","0","-86","0","-86","87","1","108","22","68","-18","88","2","82","-4","0","-86","0","-86","86","0","79","-7","109","23","109","23","0","-86","88","2"
"87","Trevor Lawrence","JAX","7","QB-10","289.0","4","87","0","0","-87","0","-87","80","-7","109","22","85","-2","92","5","80","-7","0","-87","0","-87","85","-2","86","-1","28","-59","28","-59","0","-87","73","-14"
"88","Michael Wilson","ARI","14","WR-37","168.7","8","95","7","0","-88","0","-88","104","16","113","25","92","4","117","29","84","-4","0","-88","0","-88","100","12","77","-11","128","40","128","40","0","-88","92","4"
"89","Marvin Harrison Jr.","ARI","14","WR-38","153.9","-7","66","-23","0","-89","0","-89","66","-23","69","-20","71","-18","72","-17","65","-24","0","-89","0","-89","69","-20","71","-18","98","9","98","9","0","-89","71","-18"
"90","Courtland Sutton","DEN","10","WR-39","161.0","0","78","-12","0","-90","0","-90","82","-8","77","-13","73","-17","96","6","70","-20","0","-90","0","-90","83","-7","81","-9","118","28","118","28","0","-90","81","-9"
"91","Josh Downs","IND","13","WR-40","169.5","9","105","14","0","-91","0","-91","86","-5","127","36","111","20","107","16","96","5","0","-91","0","-91","90","-1","110","19","127","36","127","36","0","-91","110","19"
"92","George Kittle","SF","8","TE-09","162.0","8","104","12","0","-92","0","-92","117","25","71","-21","110","18","74","-18","115","23","0","-92","0","-92","114","22","120","28","93","1","93","1","0","-92","105","13"
"93","Jaxson Dart","NYG","8","QB-11","284.8","0","89","-4","0","-93","0","-93","100","7","64","-29","87","-6","106","13","105","12","0","-93","0","-93","101","8","70","-23","31","-62","31","-62","0","-93","86","-7"
"94","Rachaad White","WAS","7","RB-34","143.2","3","99","5","0","-94","0","-94","99","5","102","8","89","-5","89","-5","101","7","0","-94","0","-94","109","15","119","25","114","20","114","20","0","-94","108","14"
"95","Jayden Reed","GB","11","WR-41","165.3","4","107","12","0","-95","0","-95","79","-16","137","42","112","17","115","20","106","11","0","-95","0","-95","84","-11","107","12","131","36","131","36","0","-95","112","17"
"96","Brock Purdy","SF","8","QB-12","285.0","0","97","1","0","-96","0","-96","93","-3","93","-3","100","4","104","8","104","8","0","-96","0","-96","95","-1","100","4","33","-63","33","-63","0","-96","91","-5"
"97","Travis Kelce","KC","5","TE-10","158.4","5","109","12","0","-97","0","-97","121","24","82","-15","120","23","80","-17","117","20","0","-97","0","-97","121","24","109","12","94","-3","94","-3","0","-97","104","7"
"98","J.K. Dobbins","DEN","10","RB-35","140.2","0","96","-2","0","-98","0","-98","106","8","98","0","94","-4","98","0","99","1","0","-98","0","-98","98","0","95","-3","121","23","121","23","0","-98","94","-4"
"99","Kyle Monangai","CHI","10","RB-36","139.6","-1","94","-5","0","-99","0","-99","110","11","110","11","88","-11","100","1","93","-6","0","-99","0","-99","93","-6","92","-7","119","20","119","20","0","-99","90","-9"
"100","Quentin Johnston","LAC","7","WR-42","156.5","-5","92","-8","0","-100","0","-100","74","-26","132","32","96","-4","93","-7","76","-24","0","-100","0","-100","75","-25","113","13","116","16","116","16","0","-100","97","-3"
"101","Alec Pierce","IND","13","WR-43","147.1","-14","77","-24","0","-101","0","-101","91","-10","78","-23","75","-26","81","-20","72","-29","0","-101","0","-101","79","-22","75","-26","108","7","108","7","0","-101","72","-29"
"102","Aaron Jones","MIN","6","RB-37","143.3","3","112","10","0","-102","0","-102","122","20","87","-15","125","23","109","7","125","23","0","-102","0","-102","119","17","108","6","126","24","126","24","0","-102","109","7"
"103","Jakobi Meyers","JAX","7","WR-44","161.1","0","106","3","0","-103","0","-103","111","8","97","-6","104","1","119","16","98","-5","0","-103","0","-103","105","2","98","-5","140","37","140","37","0","-103","100","-3"
"104","Jonathon Brooks","CAR","5","RB-38","139.2","-1","102","-2","0","-104","0","-104","98","-6","123","19","91","-13","82","-22","92","-12","0","-104","0","-104","102","-2","125","21","112","8","112","8","0","-104","118","14"
"105","Patrick Mahomes","KC","5","QB-13","282.7","-2","101","-4","0","-105","0","-105","97","-8","107","2","98","-7","108","3","107","2","0","-105","0","-105","92","-13","104","-1","36","-69","36","-69","0","-105","98","-7"
"106","Wan'Dale Robinson","TEN","9","WR-45","161.4","0","110","4","0","-106","0","-106","102","-4","106","0","107","1","114","8","97","-9","0","-106","0","-106","115","9","111","5","134","28","134","28","0","-106","106","0"
"107","Jake Ferguson","DAL","14","TE-11","156.6","3","114","7","0","-107","0","-107","133","26","103","-4","109","2","99","-8","119","12","0","-107","0","-107","129","22","114","7","107","0","107","0","0","-107","116","9"
"108","Blake Corum","LAR","11","RB-39","130.3","-10","100","-8","0","-108","0","-108","103","-5","120","12","102","-6","103","-5","100","-8","0","-108","0","-108","91","-17","90","-18","123","15","123","15","0","-108","95","-13"
"109","Dallas Goedert","PHI","10","TE-12","153.7","0","115","6","0","-109","0","-109","127","18","94","-15","128","19","91","-18","130","21","0","-109","0","-109","136","27","106","-3","110","1","110","1","0","-109","120","11"
"110","Matthew Stafford","LAR","11","QB-14","271.3","-14","98","-12","0","-110","0","-110","101","-9","85","-25","84","-26","110","0","102","-8","0","-110","0","-110","104","-6","116","6","38","-72","38","-72","0","-110","102","-8"
"111","Bo Nix","DEN","10","QB-15","279.5","-5","111","0","0","-111","0","-111","107","-4","114","3","105","-6","120","9","111","0","0","-111","0","-111","107","-4","99","-12","40","-71","40","-71","0","-111","99","-12"
"112","Jordan Addison","MIN","6","WR-46","148.0","-13","108","-4","0","-112","0","-112","94","-18","126","14","108","-4","123","11","108","-4","0","-112","0","-112","89","-23","102","-10","139","27","139","27","0","-112","107","-5"
"113","Ricky Pearsall","SF","8","WR-47","145.7","-15","103","-10","0","-113","0","-113","96","-17","115","2","103","-10","121","8","91","-22","0","-113","0","-113","97","-16","93","-20","138","25","138","25","0","-113","101","-12"
"114","Dalton Kincaid","BUF","7","TE-13","145.7","-8","118","4","0","-114","0","-114","114","0","149","35","122","8","97","-17","122","8","0","-114","0","-114","128","14","101","-13","113","-1","113","-1","0","-114","114","0"
"115","Jared Goff","DET","6","QB-16","273.6","-11","116","1","0","-115","0","-115","105","-10","148","33","101","-14","118","3","109","-6","0","-115","0","-115","110","-5","129","14","42","-73","42","-73","0","-115","111","-4"
"116","Mark Andrews","BAL","13","TE-14","148.0","-6","125","9","0","-116","0","-116","129","13","135","19","138","22","102","-14","132","16","0","-116","0","-116","125","9","131","15","117","1","117","1","0","-116","127","11"
"117","Romeo Doubs","NE","11","WR-48","153.3","-8","124","7","0","-117","0","-117","120","3","139","22","115","-2","140","23","116","-1","0","-117","0","-117","117","0","128","11","154","37","156","39","0","-117","130","13"
"118","Jordan Mason","MIN","6","RB-40","130.0","-10","121","3","0","-118","0","-118","116","-2","146","28","121","3","111","-7","113","-5","0","-118","0","-118","116","-2","117","-1","133","15","133","15","0","-118","117","-1"
"119","Xavier Worthy","KC","5","WR-49","145.7","-15","113","-6","0","-119","0","-119","109","-10","125","6","129","10","122","3","110","-9","0","-119","0","-119","94","-25","115","-4","135","16","135","16","0","-119","121","2"
"120","Kyler Murray","MIN","6","QB-17","271.6","-13","119","-1","0","-120","0","-120","112","-8","153","33","113","-7","125","5","124","4","0","-120","0","-120","112","-8","96","-24","45","-75","45","-75","0","-120","113","-7"
"121","Khalil Shakir","BUF","7","WR-50","151.8","-9","130","9","0","-121","0","-121","125","4","130","9","132","11","146","25","121","0","0","-121","0","-121","126","5","136","15","150","29","150","29","0","-121","128","7"
"122","Tyjae Spears","TEN","9","RB-41","135.2","-5","139","17","0","-122","0","-122","148","26","141","19","149","27","137","15","149","27","0","-122","0","-122","156","34","142","20","155","33","157","35","0","-122","139","17"
"123","Isaiah Likely","NYG","8","TE-15","137.1","-17","120","-3","0","-123","0","-123","123","0","124","1","136","13","79","-44","127","4","0","-123","0","-123","130","7","118","-5","103","-20","103","-20","0","-123","119","-4"
"124","Chris Rodriguez","JAX","7","RB-42","128.4","-12","132","8","0","-124","0","-124","132","8","170","46","134","10","130","6","135","11","0","-124","0","-124","127","3","124","0","147","23","147","23","0","-124","129","5"
"125","Baker Mayfield","TB","10","QB-18","267.2","-18","126","1","0","-125","0","-125","118","-7","156","31","117","-8","131","6","120","-5","0","-125","0","-125","118","-7","138","13","49","-76","49","-76","0","-125","123","-2"
"126","Matthew Golden","GB","11","WR-51","140.7","-20","122","-4","0","-126","0","-126","113","-13","112","-14","126","0","129","3","114","-12","0","-126","0","-126","111","-15","137","11","142","16","142","16","0","-126","136","10"
"127","Jordan Love","GB","11","QB-19","267.0","-18","127","0","0","-127","0","-127","115","-12","165","38","119","-8","134","7","128","1","0","-127","0","-127","113","-14","130","3","51","-76","51","-76","0","-127","122","-5"
"128","Oronde Gadsden","LAC","7","TE-16","138.5","-15","141","13","0","-128","0","-128","156","28","192","64","133","5","124","-4","139","11","0","-128","0","-128","148","20","134","6","137","9","137","9","0","-128","148","20"
