"Name","Position","Team","Silva Rank","ADP","ADP Dif","Pos Rank Silva","Pos Rank ADP","Pos Rank Dif","Rank Change","Silva Commentary"
"Nick Chubb","RB","HOU","113","141.3","28.3","RB44","RB42","-2","0","Favorite for carries in Texans backfield should Joe Mixon miss time."
"Will Shipley","RB","PHI","114","217.0","103.0","RB45","RB55","10","0","Sleeper to be league winner should Saquon Barkley go down."
"Caleb Williams","QB","CHI","115","109.3","-5.7","QB09","QB13","4","0","Big coaching &amp; OL upgrades. Was fantasys QB16 as rookie."
"Trevor Lawrence","QB","JAX","116","160.3","44.3","QB10","QB15","5","0","Big coach, WR upgrades. Can run. Long-awaited breakout?"
"Bo Nix","QB","DEN","117","74.3","-42.7","QB11","QB08","-3","0","Ran for 430 yards as rookie. Elite offensive line &amp; scheme."
"Justin Herbert","QB","LAC","118","109.0","-9.0","QB12","QB12","0","0","Sleeper MVP bet in Year 2 of Jim Harbaugh &amp; Greg Roman."
"Baker Mayfield","QB","TB","119","66.7","-52.3","QB13","QB07","-6","0","Loaded pass-catcher corps. Bucs profile as shootout team."
"Cooper Kupp","WR","SEA","120","95.7","-24.3","WR52","WR40","-12","1","Tank running on E but has secure role in Seahawks 3-WR set."
"Josh Palmer","WR","BUF","121","190.0","69.0","WR53","WR61","8","11","Outside chance to earn No. 1 WR role with Josh Allen."
"Keenan Allen","WR","LAC","122","161.0","39.0","WR54","WR56","2","0","Had 108/1,243/7 with Justin Herbert in 2023. Now reunited."
"Dylan Sampson","RB","CLE","123","158.3","35.3","RB46","RB50","4","0","2024 SEC Offensive Player of Year has opportunity in Cleveland."
"Dallas Goedert","TE","PHI","124","133.0","9.0","TE11","TE14","3","6","Eagles run-first O, star WR duo curb Goederts projections."
"Marvin Mims Jr.","WR","DEN","125","157.3","32.3","WR55","WR55","0","-1","Field stretcher getting real chance to earn DENs No. 2 WR job."
"Roschon Johnson","RB","CHI","126","192.0","66.0","RB47","RB53","6","-1","Bears RB room open but entirely new staff in Chicago."
"Trey Benson","RB","ARI","127","152.0","25.0","RB48","RB47","-1","-1","66th overall pick in 2024. A bet against 30yo James Conner."
"Ray Davis","RB","BUF","128","148.7","20.7","RB49","RB45","-4","-1","Year 2 for Joe Brady favorite behind disgruntled James Cook."
"Tyler Allgeier","RB","ATL","129","164.3","35.3","RB50","RB51","1","-1","Overall RB1 upside should something happen to Bijan Robinson."
"Jaylen Wright","RB","MIA","130","170.0","40.0","RB51","RB52","1","-1","Dynamic but mistake prone behind smallish DeVon Achane."
"Khalil Shakir","WR","BUF","131","105.7","-25.3","WR56","WR46","-10","0","Possession-WR ceiling. Dropped due to in-camp high ankle sprain."
"Kyle Pitts","TE","ATL","132","136.0","4.0","TE12","TE15","3","1","Frustrating underachiever, but ATL should be involved in shootouts."
"David Njoku","TE","CLE","133","91.7","-41.3","TE13","TE08","-5","1","QB questions. Browns spent third-rounder on TE Harold Fannin."
"Isaac Guerendo","RB","SF","134","142.3","8.3","RB52","RB43","-9","1","A bet against Christian McCaffrey health. 5.0 YPC as rookie."
"Dalton Kincaid","TE","BUF","135","124.7","-10.3","TE14","TE13","-1","1","Year-3 breakout candidate for Bills team lacking alpha WR."
"Colston Loveland","TE","CHI","136","120.3","-15.7","TE15","TE11","-4","1","10th overall pick figures to share w/ Cole Kmet in Year 1."
"Drake Maye","QB","NE","137","125.0","-12.0","QB14","QB14","0","1","Flashed Josh Allen similarities as rookie. Absolute beast runner."
"Dak Prescott","QB","DAL","138","102.7","-35.3","QB15","QB10","-5","1","Expect Cowboys to be among NFLs throw-heaviest teams."
"Tyjae Spears","RB","TEN","139","131.3","-7.7","RB53","RB38","-15","1","Outplayed by Tony Pollard in 2024 but still firmly Titans RB2."
"Jacory Croskey-Merritt","RB","WAS","140","222.5","82.5","RB54","RB56","2","1","Exciting late-round rookie making WAS backfield a battle."
"Sean Tucker","RB","TB","141","260.0","119.0","RB55","RB58","3","1","Coaching staff favorite rose when Rachaad White went down."
"Rachaad White","RB","TB","142","138.7","-3.3","RB56","RB40","-16","1","Lapped by Bucky Irving in 24. Preseason groin injury in 25."
"Luther Burden III","WR","CHI","143","148.3","5.3","WR57","WR52","-5","-23","Handpicked by Ben Johnson. Can be explosive playmaker in slot."
"Brandon Aiyuk","WR","SF","144","129.7","-14.3","WR58","WR49","-9","0","Mercurial talent wont be ready Week 1 after ACL/MCL tear."
"Darius Slayton","WR","NYG","145","256.0","111.0","WR59","WR62","3","0","Can get behind the D, which is where Russell Wilson wins."
"DeAndre Hopkins","WR","BAL","146","166.0","20.0","WR60","WR58","-2","0","Age-33 season. Signs point to Hopkins having little left."
"Xavier Legette","WR","CAR","147","174.5","27.5","WR61","WR60","-1","0","Gadget type failed to clear 500 yards in 16 games last year."
"Keaton Mitchell","RB","BAL","148","238.5","90.5","RB57","RB57","0","0","Small but bursty RB looks 2nd in line for carries behind Big Dog."
"Rico Dowdle","RB","CAR","149","151.0","2.0","RB58","RB46","-12","0","Lead RB in favorable environment if Chuba Hubbard gets hurt."
"Jayden Higgins","WR","HOU","150","148.7","-1.3","WR62","WR53","-9","0","34th overall pick should bookend Nico Collins in 2-WR sets."
