"Rank","Player","Pos","Tm","Pos Rank","Silva Comments","Rank Change","ADP ESPN","ADP Delta","PosADP Delta"
"69","Chris Godwin","WR","TB","WR37","On fire before ’24 ankle injury. Concern over injury recovery.","-1","107.6","38.6","4"
"70","Jaylen Warren","RB","PIT","RB25","Not unrealistic PIT simply trusts Warren over Kaleb Johnson.","-1","104.7","34.7","8"
"71","Kaleb Johnson","RB","PIT","RB26","Steelers talking up 3rd-round rookie as volume RB right away.","-1","83.5","12.5","2"
"72","David Montgomery","RB","DET","RB27","Expect Lions to lean more into Jahmyr Gibbs in revised O.","-1","60.8","-11.2","-6"
"73","RJ Harvey","RB","DEN","RB28","60th overall pick entering convoluted Broncos backfield.","-1","66.1","-6.9","-6"
"74","Jayden Reed","WR","GB","WR38","Slumped as soph. Still most secure role in Packers WR rotation.","-1","124.0","50.0","9"
"75","Sam LaPorta","TE","DET","TE04","Took step back from 2023 rookie year, still finished as fantasy TE6.","-1","48.6","-26.4","0"
"76","Mark Andrews","TE","BAL","TE05","11 TDs over Ravens final 12 reg season games. Has Lamar trust.","-1","82.1","6.1","3"
"77","Jakobi Meyers","WR","LV","WR39","By far Raiders most established wideout. Big QB upgrade.","0","109.0","32.0","5"
"78","Rome Odunze","WR","CHI","WR40","Sophomore buy after disappointing rookie yr. Was top-10 pick.","0","85.3","7.3","-8"
"79","Jordan Addison","WR","MIN","WR41","In-season suspension risk. New QB, heavy target comp.","0","96.3","17.3","-4"
"80","T.J. Hockenson","TE","MIN","TE06","Distanced from ‘23 ACL/MCL tear. New QB, heavy target comp.","0","60.8","-19.2","-1"
"81","Justin Fields","QB","NYJ","QB06","Can run for 1,000+ yards if healthy. Zero threat to his starting job.","1","129.2","48.2","6"
"82","Patrick Mahomes","QB","KC","QB07","Has been FF bust last two years. Rashee Rice suspension hurts.","-1","56.4","-25.6","-1"
"83","Jerry Jeudy","WR","CLE","WR42","Badly needs Joe Flacco to win Browns 4-man quarterback derby.","0","86.6","3.6","-9"
"84","Emeka Egbuka","WR","TB","WR43","19th overall pick. Godwin off major injury. Evans 32 in August.","0","139.1","55.1","8"
"85","Darnell Mooney","WR","ATL","WR44","Complementary piece but Falcons look like shootout team.","0","128.7","43.7","5"
"86","Josh Downs","WR","IND","WR45","Arguably Colts best pure WR when healthy. Huge QB concerns.","0","160.1","74.1","10"
"87","Aaron Jones","RB","MIN","RB29","Vikings traded for Jordan Mason to take carries off Jones’ plate.","0","75.5","-11.5","-4"
"88","Travis Kelce","TE","KC","TE07","Age-36 season. R. Rice suspension big boon to box-score outlook.","10","64.3","-23.7","-1"
"89","Travis Etienne","RB","JAX","RB30","Spring reports suggested Etienne is fave to open as Jaguars RB1.","-1","116.1","27.1","6"
"90","Christian Kirk","WR","HOU","WR46","Slot machine will provide interior safety valve for C.J. Stroud.","-1","169.2","79.2","14"
"91","Stefon Diggs","WR","NE","WR47","Great landing spot but tore ACL last Week 8, turns 32 in Nov.","-1","107.7","16.7","-5"
"92","Kyler Murray","QB","ARI","QB08","Has never topped 26 TD passes. Dual threat supports solid floor.","-1","98.0","6.0","1"
"93","Brian Robinson","RB","WAS","RB31","Favorite for carries/GL work in upward-trending WAS attack.","-1","103.1","10.1","0"
"94","Jordan Mason","RB","MIN","RB32","Outside shot to emerge as Vikes lead back after trade from SF.","-1","138.3","44.3","10"
"95","J.K. Dobbins","RB","DEN","RB33","Realistic chance to lead Broncos backfield in touches.","-1","146.6","51.6","11"
"96","Cam Skattebo","RB","NYG","RB34","Better inside runner, goal-line RB, pass pro than Tyrone Tracy.","-1","103.8","7.8","-2"
"97","Tyler Warren","TE","IND","TE08","’24 Mackey Award winner benefits if Colts start Daniel Jones.","-1","131.8","34.8","3"
"98","Jake Ferguson","TE","DAL","TE09","Was fantasy TE9, drew 102 targets in Dak’s last full season (‘23).","-1","160.4","62.4","5"
"99","Keon Coleman","WR","BUF","WR48","Josh Allen’s highest-ceiling wideout struggles to separate.","0","116.2","17.2","-3"
"100","Khalil Shakir","WR","BUF","WR49","Possession-WR ceiling but Josh Allen’s most trusted target.","0","107.9","7.9","-6"
"101","Michael Pittman","WR","IND","WR50","Strict possession WR requires heavy target vol for FF usefulness.","0","124.2","23.2","-2"
"102","Jaydon Blue","RB","DAL","RB35","Upside bet. Dynamic. Battling Javonte Williams/Miles Sanders.","0","147.3","45.3","10"
"103","Matthew Golden","WR","GB","WR51","Rookie will get first crack at Packers top perimeter WR job.","0","93.8","-9.2","-15"
"104","Marquise Brown","WR","KC","WR52","Nice on-paper situation but hasn't been FF useful since 2021. ","34","155.1","51.1","0"
"105","Bhayshul Tuten","RB","JAX","RB36","4.3 gamebreaker. Only Travis Etienne, Tank Bigsby to pass.","-1","145.0","40.0","7"
"106","Rhamondre Stevenson","RB","NE","RB37","TreVeyon Henderson pick kills Rhamondre’s upside.","-1","104.7","-1.3","-3"
"107","Zach Charbonnet","RB","SEA","RB38","Kenneth Walker more talented, but new offense in Seattle.","-1","123.6","16.6","0"
"108","Tyrone Tracy Jr.","RB","NYG","RB39","I'm betting Cam Skattebo quickly asserts self as Giants main RB.","-1","106.5","-1.5","-4"
"109","Tank Bigsby","RB","JAX","RB40","Jags best runner in ’24 but limited skill set &amp; new regime in JAX.","-1","133.8","24.8","1"
"110","Austin Ekeler","RB","WAS","RB41","Commanders change-up/pass-dn RB behind Brian Robinson.","-1","117.0","7.0","-4"
"111","Jerome Ford","RB","CLE","RB42","Efficient and versatile. Stock rose with Quinshon Judkins' arrest.","-1","168.4","57.4","9"
"112","Tyjae Spears","RB","TEN","RB43","Outplayed by Tony Pollard in 2024 but still firmly Titans RB2.","-1","128.8","16.8","-4"
"113","Trey Benson","RB","ARI","RB44","66th overall pick in 2024. Bet against 30-year-old James Conner.","-1","159.9","46.9","4"
"114","Isaac Guerendo","RB","SF","RB45","A bet against Christian McCaffrey health. 5.0 YPC as rookie.","-1","150.9","36.9","1"
"115","Javonte Williams","RB","DAL","RB46","Looked washed in ’24 but Cowboys RB depth chart open.","-1","97.7","-17.3","-16"
"116","Will Shipley","RB","PHI","RB47","Sleeper to be league winner should Saquon Barkley go down.","-1","169.8","53.8","10"
"117","Quinshon Judkins","RB","CLE","RB48","Browns 2nd-rounder arrested in July for battery/domestic violence.","-1","70.4","-46.6","-24"
"118","Blake Corum","RB","LA","RB49","2024 third-round pick. Kyren Williams low on efficiency.","-1","169.1","51.1","3"
"119","Caleb Williams","QB","CHI","QB09","Big coaching &amp; OL upgrades. Was fantasy’s QB16 as rookie.","-1","118.9","-0.1","1"
"120","Trevor Lawrence","QB","JAX","QB10","Big coach, WR upgrades. Can run. Long-awaited breakout?","-1","168.3","48.3","5"
"121","Justin Herbert","QB","LAC","QB11","Sleeper MVP bet in Year 2 of Jim Harbaugh &amp; Greg Roman.","-1","122.0","1.0","0"
"122","Bo Nix","QB","DEN","QB12","Ran for 430 yards as rookie. Elite offensive line &amp; scheme.","-1","77.2","-44.8","-4"
"123","Baker Mayfield","QB","TB","QB13","Loaded pass-catcher corps. Bucs profile as shootout team.","-1","76.3","-46.7","-6"
"124","Luther Burden III","WR","CHI","WR53","Handpicked by Ben Johnson. Explosive playmaker in slot.","-1","166.4","42.4","4"
"125","Rashod Bateman","WR","BAL","WR54","Quietly coming off career-best season. Stayed healthy.","-1","167.5","42.5","4"
"126","Cooper Kupp","WR","SEA","WR55","Tank running on E but has secure role in Seahawks 3-WR set.","-1","92.5","-33.5","-20"
"127","Roschon Johnson","RB","CHI","RB50","Bears RB room open but entirely new staff in Chicago.","-1","166.5","39.5","0"
"128","Ray Davis","RB","BUF","RB51","Year 2 for Joe Brady favorite behind disgruntled James Cook.","-1","164.1","36.1","-2"
"129","Tyler Allgeier","RB","ATL","RB52","Overall RB1 upside should something happen to Bijan Robinson.","-1","155.9","26.9","-5"
"130","MarShawn Lloyd","RB","GB","RB53","2024 third-rounder’s rookie season torpedoed by injuries.","-1","169.6","39.6","3"
"131","Braelon Allen","RB","NYJ","RB54","Trade rumors around Breece Hall. Allen is Jets next RB up.","-1","169.5","38.5","0"
"132","Rachaad White","RB","TB","RB55","Lapped by Bucky Irving in '24 but can reemerge w/ Irving injury.","-1","130.5","-1.5","-15"
"133","Jaylen Wright","RB","MIA","RB56","Dynamic but mistake prone behind smallish De’Von Achane.","-1","169.5","36.5","-3"
"134","Tucker Kraft","TE","GB","TE10","Remember Luke Musgrave? Kraft has lapped him as Packers TE.","-1","129.2","-4.8","0"
"135","Dallas Goedert","TE","PHI","TE11","Eagles run-first O, star WR duo curb Goedert’s projections.","-1","142.2","7.2","2"
"136","Kyle Pitts","TE","ATL","TE12","Frustrating underachiever, but ATL should be involved in shootouts.","-1","164.3","28.3","4"
"137","David Njoku","TE","CLE","TE13","QB questions. Browns spent third-rounder on TE Harold Fannin.","-1","79.9","-57.1","-6"
"138","Brandon Aiyuk","WR","SF","WR56","Mercurial talent won’t be ready Week 1 after ACL/MCL tear.","-1","159.7","21.7","-2"
"139","Tre Harris","WR","LAC","WR57","55th overall pick got bump when Mike Williams retired.",,"163.7","24.7","-1"
"140","Darius Slayton","WR","NYG","WR58","Can get behind the D, which is where Russell Wilson wins.","-1","170.0","30.0","3"
"141","Dalton Kincaid","TE","BUF","TE14","Year-3 breakout candidate for Bills team lacking alpha WR.","-1","133.5","-7.5","-2"
"142","DeAndre Hopkins","WR","BAL","WR59","Age-33 season. Signs point to Hopkins having little left.","-1","168.8","26.8","0"
"143","Drake Maye","QB","NE","QB14","Flashed Josh Allen similarities as rookie. Absolute beast runner.","-1","151.4","8.4","-1"
"144","Matthew Stafford","QB","LA","QB15","Added Davante Adams, Rams offensive line now settled.","-1","164.2","20.2","-1"
"145","Xavier Legette","WR","CAR","WR60","Gadget type failed to clear 500 yards in 16 games last year.","-1","157.0","12.0","-7"
"146","Isaiah Likely","TE","BAL","TE15","Role-player weapon would explode with Mark Andrews injury.","-1","161.5","15.5","0"
"147","Jonnu Smith","TE","PIT","TE16","Big downgrade going from Miami to run-first Pittsburgh.","-1","119.4","-27.6","-7"
"148","Jayden Higgins","WR","HOU","WR61","34th overall pick should bookend Nico Collins in 2-WR sets.","-1","135.1","-12.9","-11"
"149","Rico Dowdle","RB","CAR","RB57","Lead RB in favorable environment if Chuba Hubbard gets hurt.","-1","169.6","20.6","-2"
"150","Jaleel McLaughlin","RB","DEN","RB58","5’8/187-pound role player damaged by R.J. Harvey pick.","-1","170.0","20.0","0"
