rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
594,20085,Dennis Gardeck,JAX,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.5,0.4,0.2,3.4,57.1
595,23557,Josh Jobe,SEA,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,0.7,0.3,3.3,56.7
596,25140,Chau Smith-Wade,CAR,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.3,3.3,56.6
597,25172,Jarrian Jones,JAX,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.6,0.6,0.3,3.3,56.5
598,21045,Hollywood Brown,PHI,WR,17,0.0,0.0,0.0,0.0,0.0,21.9,244.6,1.7,0.0,0.0,0.0,0.0,3.3,56.4
599,22709,Christian Barmore,NE,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.5,0.5,0.3,3.3,56.3
600,26773,Mansoor Delane,KC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.4,3.3,56.3
601,21133,Marcus Epps,PHI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.7,0.3,3.3,56.1
602,26753,Max Klare,LAR,TE,17,0.0,0.0,0.0,0.0,0.0,22.0,221.0,2.0,0.0,0.0,0.0,0.0,3.3,56.1
603,26013,Nick Emmanwori,SEA,S,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.5,0.2,5.1,56.1
604,22056,Jaylon Johnson,CHI,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.4,3.3,56.0
605,23381,Boye Mafe,CIN,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.2,0.5,0.3,3.3,55.8
606,24342,Mitch Tinsley,CIN,WR,17,0.0,0.0,0.0,0.0,0.0,22.5,251.9,1.4,0.0,0.0,0.0,0.0,3.3,55.7
607,23119,Treylon Burks,WAS,WR,17,0.0,0.0,0.0,8.0,0.0,20.9,241.8,1.7,0.0,0.0,0.0,0.0,3.3,55.7
608,23542,Malcolm Rodriguez,DET,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.2,0.6,0.3,3.3,55.7
609,24269,Ventrell Miller,JAX,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.3,3.3,55.5
610,26032,Elijah Arroyo,SEA,TE,17,0.0,0.0,0.0,0.0,0.0,21.3,253.7,1.5,0.0,0.0,0.0,0.0,3.3,55.5
611,25903,Jordan James,SF,RB,17,0.0,0.0,0.0,271.3,2.0,8.9,63.1,0.3,0.0,0.0,0.0,0.0,3.3,55.3
612,19859,Uchenna Nwosu,SEA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.3,0.5,0.2,3.3,55.3
613,17947,Kenny Clark,DAL,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.3,0.6,0.3,3.2,55.1
614,17949,Sheldon Rankins,HOU,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,0.6,0.3,3.2,54.8
615,26198,Jamaree Caldwell,LAC,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,0.6,0.3,3.2,54.8
616,26182,Quincy Riley,NO,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.3,3.2,54.8
617,22068,James Pierre,MIN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,0.3,3.2,54.8
618,25996,Mykel Williams,SF,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,0.7,0.3,3.2,54.7
619,22877,Greg Newsome II,NYG,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.3,3.2,54.5
620,22089,Amik Robertson,WAS,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.4,3.2,54.4
621,22923,Shemar Jean-Charles,SEA,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.6,0.3,3.2,54.4
622,22695,Micah Parsons,GB,DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.2,0.5,0.2,4.9,54.3
623,26854,Chris Johnson,MIA,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,0.4,3.2,54.2
624,23192,Chris Brooks,GB,RB,17,0.0,0.0,0.0,195.0,1.2,16.7,107.9,0.2,0.0,0.0,0.0,0.0,3.2,54.2
625,26141,Tonka Hemingway,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.5,0.4,0.2,3.2,53.7
626,26172,Marcus Harris,TEN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.7,0.3,3.1,53.5
627,25990,Deone Walker,BUF,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,0.6,0.3,3.1,53.4
628,24978,Devontez Walker,BAL,WR,17,0.0,0.0,0.0,3.0,0.0,12.3,181.8,3.8,0.0,0.0,0.0,0.0,3.1,53.4
629,24283,Keeanu Benton,PIT,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.5,0.7,0.4,3.1,53.4
630,21867,Javon Kinlaw,WAS,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.7,0.3,3.1,53.1
631,23428,Riq Woolen,PHI,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7,0.3,3.1,53.0
632,22780,Tommy Togiai,HOU,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.2,0.5,0.3,3.1,52.9
633,22295,Tershawn Wharton,CAR,DT,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.4,0.2,4.8,52.7
634,21349,Ashton Dulin,IND,WR,17,0.0,0.0,0.0,35.2,0.0,17.2,187.1,2.3,0.0,0.0,0.0,0.0,3.1,52.6
635,26025,Benjamin Morrison,TB,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.6,0.3,3.1,52.6
636,26118,Billy Bowman Jr.,ATL,CB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,0.6,0.3,4.8,52.5
637,25217,Jarvis Brownlee Jr.,NYJ,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.4,0.2,3.1,52.5
638,24309,Emanuel Wilson,SEA,RB,17,0.0,0.0,0.0,227.5,1.9,9.6,79.2,0.4,0.0,0.0,0.0,0.0,3.1,52.5
639,25079,Kimani Vidal,LAC,RB,17,0.0,0.0,0.0,203.3,1.2,12.2,104.9,0.6,0.0,0.0,0.0,0.0,3.1,52.4
640,26053,T.J. Sanders,BUF,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.6,0.3,3.1,52.4
641,23010,Brock Wright,DET,TE,17,0.0,0.0,0.0,0.0,0.0,21.3,176.2,2.3,0.0,0.0,0.0,0.0,3.1,52.3
642,25184,Myles Harden,CLE,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.6,0.3,3.1,52.3
643,26981,Kaelon Black,SF,RB,17,0.0,0.0,0.0,237.5,1.9,9.6,62.9,0.4,0.0,0.0,0.0,0.0,3.1,52.0
644,19900,Harrison Phillips,NYJ,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.2,0.5,0.2,3.1,52.0
645,23726,Kader Kohou,KC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.6,0.3,3.1,52.0
646,19902,Oren Burks,CIN,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.5,0.3,3.1,51.9
647,18953,Chidobe Awuzie,BAL,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.4,3.0,51.8
648,22422,Teair Tart,LAC,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.3,3.0,51.8
649,26041,Kenneth Grant,MIA,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.4,0.5,0.2,3.0,51.7
650,25994,Derrick Harmon,PIT,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.3,0.6,0.3,3.0,51.7
651,19124,D.J. Jones,DEN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.3,0.5,0.3,3.0,51.6
652,23512,Thomas Booker IV,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.5,0.2,3.0,51.4
653,19862,Harold Landry III,NE,LB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.1,0.4,0.2,4.7,51.3
654,23211,MarShawn Lloyd,GB,RB,17,0.0,0.0,0.0,277.3,1.8,7.7,55.6,0.1,0.0,0.0,0.0,0.0,3.0,51.2
655,26061,Donovan Ezeiruaku,DAL,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.4,0.5,0.2,3.0,51.2
656,25934,Tez Johnson,TB,WR,17,0.0,0.0,0.0,14.9,0.0,19.0,214.8,1.6,0.0,0.0,0.0,0.0,3.0,51.2
657,26799,Skyler Bell,BUF,WR,17,0.0,0.0,0.0,3.5,0.0,17.7,227.5,1.7,0.0,0.0,0.0,0.0,3.0,51.0
658,22662,Tommy Tremble,CAR,TE,17,0.0,0.0,0.0,0.0,0.0,21.9,192.0,1.7,0.0,0.0,0.0,0.0,3.0,50.9
659,25045,Rasheen Ali,BAL,RB,17,0.0,0.0,0.0,180.3,1.3,10.8,89.3,1.1,0.0,0.0,0.0,0.0,3.0,50.8
660,26757,Eli Stowers,PHI,TE,17,0.0,0.0,0.0,0.8,0.0,22.2,234.5,0.9,0.0,0.0,0.0,0.0,3.0,50.7
661,22928,Roy Lopez,ARI,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.3,0.5,0.2,3.0,50.7
662,23552,Cobie Durant,DAL,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.8,0.6,0.3,3.0,50.6
663,24150,Luke Musgrave,GB,TE,17,0.0,0.0,0.0,0.0,0.0,23.9,232.3,0.6,0.0,0.0,0.0,0.0,3.0,50.3
664,18938,Dalvin Tomlinson,LAC,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.2,0.5,0.3,3.0,50.3
665,24923,Jaylen Wright,MIA,RB,17,0.0,0.0,0.0,297.2,1.4,7.3,58.4,0.2,0.0,0.0,0.0,0.0,2.9,50.1
666,25012,Kris Jenkins Jr.,CIN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.2,0.5,0.2,2.9,50.0
667,26164,Teddye Buchanan,BAL,ILB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.2,4.5,50.0
668,24180,DeMario Douglas,NE,WR,17,0.0,0.0,0.0,11.5,0.0,17.1,216.8,1.7,0.0,0.0,0.0,0.0,2.9,49.9
669,22783,Keith Taylor,JAX,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.4,0.2,2.9,49.9
670,20002,Tim Settle,WAS,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.5,0.3,2.9,49.8
671,24282,Karl Brooks,GB,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.2,0.6,0.3,2.9,49.8
672,26122,Vernon Broughton,NO,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.4,0.4,0.2,2.9,49.8
673,26075,Alfred Collins,SF,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,0.5,0.3,2.9,49.7
674,25064,Isaiah Davis,NYJ,RB,17,0.0,0.0,0.0,181.6,1.0,14.0,113.8,0.2,0.0,0.0,0.0,0.0,2.9,49.5
675,26078,Darien Porter,LV,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.3,2.9,49.3
676,24183,Deonte Banks,NYG,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.3,2.9,49.0
677,23455,Otito Ogbonnia,DAL,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.5,0.2,2.9,48.9
678,22697,Zaven Collins,ARI,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.2,0.5,0.2,2.9,48.8
679,24987,Luke McCaffrey,WAS,WR,17,0.0,0.0,0.0,0.0,0.0,16.1,201.5,2.1,0.0,0.0,0.0,0.0,2.9,48.5
680,25031,T'Vondre Sweat,NYJ,NT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.2,0.5,0.2,2.8,48.4
681,20185,Poona Ford,LAR,NT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.5,0.6,0.3,2.8,48.3
682,21734,Nick Westbrook-Ikhine,IND,WR,17,0.0,0.0,0.0,0.0,0.0,19.1,233.8,1.0,0.0,0.0,0.0,0.0,2.8,48.3
683,16319,Shelby Harris,NYG,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.5,0.3,2.8,48.2
684,24595,Zavier Scott,MIN,RB,17,0.0,0.0,0.0,135.6,2.4,8.4,63.4,1.1,0.0,0.0,0.0,0.0,2.8,48.1
685,20506,Tanner Hudson,CIN,TE,17,0.0,0.0,0.0,0.0,0.0,19.3,176.4,1.9,0.0,0.0,0.0,0.0,2.8,47.9
686,25350,Jowon Briggs,NYJ,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.3,0.2,2.8,47.8
687,24192,Carrington Valentine,GB,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,0.4,2.8,47.6
688,25911,Jalen Royals,KC,WR,17,0.0,0.0,0.0,4.0,0.0,19.6,211.7,1.1,0.0,0.0,0.0,0.0,2.8,47.4
689,23160,John Metchie III,CAR,WR,17,0.0,0.0,0.0,3.0,0.0,18.5,199.0,1.5,0.0,0.0,0.0,0.0,2.8,47.3
690,24449,Elijah Higgins,ARI,TE,17,0.0,0.0,0.0,0.0,0.0,20.9,213.3,0.9,0.0,0.0,0.0,0.0,2.8,47.2
691,22232,LaCale London,ATL,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.4,0.2,2.8,47.1
692,26853,Jacob Rodriguez,MIA,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,2.8,47.1
693,18422,Kalif Raymond,CHI,WR,17,0.0,0.0,0.0,5.5,0.0,17.3,218.3,1.3,0.0,0.0,0.0,0.0,2.8,47.1
694,21869,DaVon Hamilton,JAX,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.5,0.3,2.8,47.0
695,25900,DJ Giddens,IND,RB,17,0.0,0.0,0.0,210.8,2.2,8.4,52.2,0.1,0.0,0.0,0.0,0.0,2.8,46.9
696,24609,Emari Demercado,KC,RB,17,0.0,0.0,0.0,193.5,1.5,11.1,73.6,0.1,0.0,0.0,0.0,0.0,2.8,46.8
697,25201,Jordan Whittington,LAR,WR,17,0.0,0.0,0.0,3.0,0.0,19.2,186.7,1.5,0.0,0.0,0.0,0.0,2.8,46.8
698,22602,Tutu Atwell,MIA,WR,17,0.0,0.0,0.0,6.0,0.0,18.8,223.7,0.9,0.0,0.0,0.0,0.0,2.7,46.6
699,24347,Xavier Hutchinson,HOU,WR,17,0.0,0.0,0.0,18.3,0.0,16.7,203.1,1.3,0.0,0.0,0.0,0.0,2.7,46.2
700,19901,Isaac Yiadom,NO,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,2.7,46.2
701,19053,Davon Godchaux,NO,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.3,2.7,46.1
702,26224,Tyleik Williams,DET,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.3,0.5,0.3,2.7,46.0
703,21071,Greg Dortch,DET,WR,17,0.0,0.0,0.0,22.6,0.0,20.9,181.7,1.0,0.0,0.0,0.0,0.0,2.7,45.9
704,26893,D'Angelo Ponds,NYJ,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,2.7,45.9
705,22686,Dyami Brown,WAS,WR,17,0.0,0.0,0.0,3.0,0.0,17.3,212.9,1.2,0.0,0.0,0.0,0.0,2.7,45.7
706,22863,Riley Patterson,MIA,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,45.5
707,25211,Justin Eboigbe,LAC,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.3,0.2,2.7,45.4
708,18083,DJ Reader,NYG,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.3,0.5,0.2,2.7,45.4
709,25976,Jaylin Lane,WAS,WR,17,0.0,0.0,0.0,11.5,0.0,16.5,200.5,1.3,0.0,0.0,0.0,0.0,2.7,45.3
710,24108,Emmanuel Forbes Jr.,LAR,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.6,0.3,2.6,45.0
711,25907,Deion Burks,IND,WR,17,0.0,0.0,0.0,1.0,0.0,19.1,189.7,1.2,0.0,0.0,0.0,0.0,2.6,45.0
712,28063,Brandon Cleveland,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.2,2.6,44.9
713,26787,Rueben Bain Jr.,TB,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.3,2.6,44.6
714,26151,Jalen McLeod,JAX,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.3,0.4,0.2,2.6,44.5
715,24258,Adetomiwa Adebawore,IND,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.2,0.3,0.2,2.6,44.4
716,24518,Mohamoud Diabate,TEN,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.3,2.6,44.3
717,21216,Cam Lewis,CHI,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,2.6,44.2
718,20959,Jahlani Tavai,NE,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,2.6,43.8
719,19870,Donte Jackson,LAC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.5,0.3,2.6,43.6
720,26805,Josh Cameron,JAX,WR,17,0.0,0.0,0.0,11.0,0.0,15.6,180.0,1.5,0.0,0.0,0.0,0.0,2.6,43.5
721,24964,Keon Coleman,BUF,WR,17,0.0,0.0,0.0,3.0,0.0,15.1,209.2,1.2,0.0,0.0,0.0,0.0,2.5,43.3
722,22721,Bobby Brown III,CAR,DT,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.5,0.2,2.7,43.2
723,22059,Jordan Elliott,TEN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.3,2.5,43.1
724,25875,Mitchell Evans,CAR,TE,17,0.0,0.0,0.0,0.0,0.0,17.7,178.0,1.3,0.0,0.0,0.0,0.0,2.5,43.1
725,26034,Isaiah Bond,CLE,WR,17,0.0,0.0,0.0,11.0,0.0,16.2,187.9,1.2,0.0,0.0,0.0,0.0,2.5,43.1
726,19887,Nathan Shepherd,NO,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.4,0.2,2.5,43.1
727,25041,Jer'Zhan Newton,WAS,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.2,0.3,0.2,2.5,42.8
728,26948,Zavion Thomas,CHI,WR,17,0.0,0.0,0.0,0.0,0.0,16.0,186.1,1.4,0.0,0.0,0.0,0.0,2.5,42.8
729,24465,Cory Durden,NE,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.4,0.2,2.5,42.6
730,23196,George Holani,SEA,RB,17,0.0,0.0,0.0,202.8,1.9,6.2,43.8,0.2,0.0,0.0,0.0,0.0,2.5,42.1
731,24110,Garrett Williams,ARI,CB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.5,0.2,3.8,41.9
732,26038,Jaydon Blue,DAL,RB,17,0.0,0.0,0.0,207.7,1.6,6.6,44.5,0.2,0.0,0.0,0.0,0.0,2.5,41.8
733,26107,Ben Sauls,NYG,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,41.7
734,25001,Konata Mumpfield,LAR,WR,17,0.0,0.0,0.0,0.0,0.0,16.6,186.6,1.0,0.0,0.0,0.0,0.0,2.4,41.1
735,25039,Roman Wilson,PIT,WR,17,0.0,0.0,0.0,0.0,0.0,14.9,187.5,1.3,0.0,0.0,0.0,0.0,2.4,41.0
736,25986,LeQuint Allen Jr.,JAX,RB,17,0.0,0.0,0.0,90.7,0.4,16.6,111.0,0.4,0.0,0.0,0.0,0.0,2.4,41.0
737,22778,Khyiris Tonga,KC,NT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.5,0.2,2.4,40.9
738,26176,Jared Harrison-Hunte,CAR,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.3,0.4,0.2,2.4,40.8
739,26889,Domonique Orange,MIN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.3,2.4,40.6
740,3341,Calais Campbell,BAL,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.1,0.4,0.2,2.4,40.5
741,25939,Kaytron Allen,WAS,RB,17,0.0,0.0,0.0,228.3,1.6,5.6,39.5,0.0,0.0,0.0,0.0,0.0,2.4,40.4
742,14901,Kyle Juszczyk,SF,FB,17,0.0,0.0,0.0,9.2,0.1,18.0,157.4,0.9,0.0,0.0,0.0,0.0,2.4,40.3
743,25955,Phil Mafah,DAL,RB,17,0.0,0.0,0.0,156.4,1.6,7.1,52.5,0.6,0.0,0.0,0.0,0.0,2.4,40.0
744,24991,Jawhar Jordan,HOU,RB,17,0.0,0.0,0.0,201.1,0.9,9.9,57.4,0.0,0.0,0.0,0.0,0.0,2.4,40.0
745,23880,Malik Davis,DAL,RB,17,0.0,0.0,0.0,212.8,1.4,5.8,36.2,0.3,0.0,0.0,0.0,0.0,2.3,39.9
746,23205,Jerome Ford,WAS,RB,17,0.0,0.0,0.0,181.7,1.1,9.3,62.4,0.1,0.0,0.0,0.0,0.0,2.3,39.7
747,28058,Caleb Banks,MIN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,2.3,39.5
748,25016,Jaylahn Tuimoloau,IND,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.3,0.3,0.2,2.3,39.1
749,26809,Brenen Thompson,LAC,WR,17,0.0,0.0,0.0,0.0,0.0,16.1,179.5,0.9,0.0,0.0,0.0,0.0,2.3,39.0
750,26835,Emmett Johnson,KC,RB,17,0.0,0.0,0.0,176.1,1.4,6.8,48.4,0.4,0.0,0.0,0.0,0.0,2.3,38.9
751,21001,Rock Ya-Sin,DET,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,2.3,38.8
752,26777,Christen Miller,NO,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.2,2.3,38.8
753,25846,Dondrea Tillman,DEN,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7,0.3,0.1,2.3,38.6
754,25263,Tatum Bethune,SF,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.3,0.1,2.3,38.5
755,25972,Jackson Hawes,BUF,TE,17,0.0,0.0,0.0,0.0,0.0,14.9,171.1,1.1,0.0,0.0,0.0,0.0,2.3,38.4
756,23135,Charlie Kolar,LAC,TE,17,0.0,0.0,0.0,2.0,0.0,16.0,162.0,1.0,0.0,0.0,0.0,0.0,2.3,38.4
757,23304,Cade York,NYJ,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,38.4
758,26105,Savion Williams,GB,WR,17,0.0,0.0,0.0,39.8,0.3,14.7,150.9,0.5,0.0,0.0,0.0,0.0,2.2,38.2
759,19949,Avonte Maddox,DET,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.2,2.2,38.0
760,18047,Demarcus Robinson,SF,WR,17,0.0,0.0,0.0,0.0,0.0,13.0,197.9,0.8,0.0,0.0,0.0,0.0,2.2,37.4
761,19105,Al-Quadin Muhammad,TB,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.2,0.2,0.1,2.2,37.3
762,23442,Damone Clark,DET,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.3,0.1,2.2,37.2
763,28122,Jalen Huskey,JAX,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,2.2,37.0
764,22787,Benjamin St-Juste,GB,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.2,2.2,37.0
765,25218,Braden Fiske,LAR,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.1,0.4,0.2,2.2,36.8
766,19934,Da'Shawn Hand,ATL,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.4,0.2,2.2,36.6
767,22047,Myles Bryant,CLE,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.2,2.1,36.4
768,23393,Micheal Clemons,IND,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.3,0.2,2.1,36.4
769,24969,Jaden Hicks,KC,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.3,0.2,2.1,36.1
