"Full Name",Position,"Breakout Age","Breakout Year","College Dominator Rating","College YPR"
"Andy Isabella",WR,19.8,2016,52.2%,16.6
"Andy Jones",WR,21.2,2015,29.7%,14.8
"Anquan Boldin",WR,19.9,2000,41.2%,15.6
"Anthony Johnson",WR,22.6,2017,43.5%,17.8
"Anthony Miller",WR,21.9,2016,39.9%,15.2
"Anthony Ratliff-Williams",WR,20.2,2017,22.8%,17.2
"Anthony Warrum",WR,21.2,2015,53.6%,19.7
"Antoine Wesley",WR,20.9,2018,32.7%,16.0
"Antonio Brown",WR,19.2,2007,32.8%,10.9
"Antonio Callaway",WR,18.7,2015,23.0%,13.4
"Antwan Goodley",WR,22.0,2013,26.3%,16.4
"Antwane Grant",WR,-,-,14.2%,12.6
"ArDarius Stewart",WR,22.7,2016,36.4%,16.0
"Armon Binns",WR,20.0,2009,36.1%,14.7
"Arrelious Benn",WR,23.2,2012,20.7%,16.7
"Artavis Scott",WR,19.9,2014,21.6%,10.4
"Ashton Dulin",WR,18.3,2015,60.9%,17.0
"Auden Tate",WR,19.6,2016,37.4%,13.7
"Austin Carr",WR,21.7,2015,46.8%,13.9
"Austin Collie",WR,21.8,2007,40.5%,14.5
"Austin Duke",WR,20.1,2013,38.2%,15.5
"Austin Franklin",WR,19.8,2012,44.7%,14.8
"Austin Hill",WR,21.1,2012,25.4%,14.9
"Austin Pettis",WR,20.6,2008,27.8%,13.4
"Austin Proehl",WR,-,-,17.2%,16.0
"Austin Willis",WR,21.4,2013,29.1%,13.5
"B.J. Cunningham",WR,21.3,2010,41.5%,16.5
"Ben Edwards",WR,19.4,2011,25.3%,11.5
"Bennie Fowler",WR,21.2,2012,28.4%,17.3
"Bernard Reedy",WR,19.7,2011,38.0%,13.5
"Bobo Wilson",WR,-,-,15.4%,11.9
"Bra'lon Cherry",WR,-,-,13.9%,14.5
"Bradley Marquez",WR,21.7,2014,22.2%,12.6
"Braelon Roberts",WR,-,-,13.7%,13.6
"Brandin Cooks",WR,18.9,2012,38.9%,13.5
"Brandon Coleman",WR,19.2,2011,26.7%,15.8
"Brandon Gibson",WR,19.1,2006,35.1%,17.4
"Brandon LaFell",WR,21.8,2008,45.7%,13.9
"Brandon Lloyd",WR,20.2,2001,32.2%,15.5
"Brandon Marshall",WR,21.5,2005,42.5%,16.1
"Brandon Powell",WR,22.0,2017,25.3%,9.7
"Brandon Reilly",WR,-,-,16.8%,19.2
"Brandon Shippen",WR,-,-,7.3%,14.1
"Brandon Tate",WR,19.9,2007,20.0%,19.2
"Brandon Zylstra",WR,20.5,2013,38.6%,17.5
"Braxton Berrios",WR,21.9,2017,28.1%,12.3
"Braxton Miller",WR,-,-,14.8%,13.1
"Brelan Chancellor",WR,19.1,2011,29.0%,14.9
"Brenton Bersin",WR,19.3,2009,54.3%,19.5
"Breshad Perriman",WR,20.0,2013,36.6%,20.9
"Brian Brown",WR,20.9,2015,39.9%,18.3
"Brian Hartline",WR,20.8,2007,25.0%,13.3
"Brian Quick",WR,20.3,2009,48.4%,15.4
"Brian Tyms",WR,22.5,2011,20.1%,14.2
"Brice Butler",WR,-,-,17.1%,14.5
"Brisly Estime",WR,-,-,13.6%,14.0
"Brittan Golden",WR,23.1,2011,32.4%,18.7
"Brody Oliver",WR,-,2016,49.3%,16.6
"Bruce Ellington",WR,21.0,2012,27.5%,15.8
"Bryan Walters",WR,21.8,2009,52.1%,15.0
"Bryant Mitchell",WR,-,-,10.0%,10.9
"Bryce Bobo",WR,22.2,2017,24.2%,11.2
"Bryce Treggs",WR,-,-,17.7%,21.2
"Bud Sasser",WR,22.3,2014,42.9%,13.0
"Bug Howard",WR,21.8,2016,26.2%,15.6
"Byron Pringle",WR,22.8,2016,37.7%,24.1
"C.J. Board",WR,21.7,2015,23.4%,14.9
"C.J. Worton",WR,-,2018,20.9%,16.9
"Caleb Holley",WR,21.7,2012,36.6%,17.6
"Caleb Scott",WR,-,-,12.3%,12.0
"Calvin Johnson",WR,19.9,2005,55.3%,15.8
"Calvin Ridley",WR,20.7,2015,30.1%,13.5
"Cam Phillips",WR,18.7,2014,34.8%,13.6
"Cam Sims",WR,-,-,5.6%,14.8
"Cam Worthy",WR,22.4,2014,20.0%,18.5
"Cameron Batson",WR,-,-,13.5%,9.5
"Cameron Meredith",WR,22.0,2014,30.0%,16.1
"Canaan Severin",WR,21.5,2014,32.3%,14.1
"Carlos Henderson",WR,20.7,2015,40.0%,18.7
"Carlton Agudosi",WR,-,-,9.6%,14.8
"Cayleb Jones",WR,21.5,2014,25.2%,15.2
"Cecil Shorts",WR,20.7,2008,40.8%,17.1
"Cedrick Wilson",WR,20.8,2016,37.0%,20.2
"Chad Beebe",WR,-,-,14.5%,14.9
"Chad Hansen",WR,21.6,2016,35.2%,13.6
"Chad Williams",WR,20.9,2015,37.4%,14.8
"Chance Allen",WR,21.7,2015,25.0%,14.6
"Chandler Jones",WR,20.8,2012,37.9%,17.2
"Charles Holland",WR,19.3,2015,31.0%,14.4
"Charles Johnson",WR,22.5,2011,49.8%,16.7
"Charone Peake",WR,-,-,15.3%,14.3
"Chester Rogers",WR,19.6,2013,24.1%,15.4
"Chris Boyd",WR,19.7,2011,32.7%,15.5
"Chris Brown",WR,-,-,16.9%,12.4
"Chris Conley",WR,20.9,2013,29.3%,18.3
"Chris D. Harper",WR,21.0,2010,29.2%,14.8
"Chris Fields",WR,-,-,18.6%,12.1
"Chris Givens",WR,20.6,2009,40.7%,16.0
"Chris Godwin",WR,19.5,2015,34.9%,16.6
"Chris Harper",WR,-,-,15.8%,12.2
"Chris Hogan",WR,-,-,15.6%,12.3
"Chris Lacy",WR,-,-,7.4%,14.5
"Chris Matthews",WR,19.9,2009,30.5%,15.2
"Chris Moore",WR,20.2,2013,23.7%,18.0
"Chris Owusu",WR,19.7,2009,21.1%,10.7
"Chris Summers",WR,20.2,2009,33.7%,15.8
"Chris Thompson",WR,-,-,0.4%,9.6
"Chris Williams",WR,19.0,2006,38.8%,14.8
"Christian Blake",WR,-,-,16.5%,10.8
"Christian Kirk",WR,18.8,2015,36.8%,12.9
"Christion Jones",WR,19.7,2012,5.0%,9.7
"Chuck Jacobs",WR,-,-,18.1%,14.8
"Clyde Gates",WR,23.2,2009,32.2%,17.9
"Cobi Hamilton",WR,21.8,2012,29.3%,14.8
"Cody Core",WR,20.4,2014,16.9%,15.5
"Cody Hoffman",WR,19.5,2010,37.3%,13.8
"Cody Hollister",WR,-,-,3.7%,12.3
"Cody Latimer",WR,19.9,2012,27.4%,15.2
"Cody Thompson",WR,19.7,2015,26.6%,16.7
"Colby Pearson",WR,21.6,2016,20.8%,10.1
"Cole Beasley",WR,21.4,2010,22.4%,12.1
"Colin Lockett",WR,20.4,2011,28.8%,15.4
"Cooper Kupp",WR,20.2,2013,40.4%,14.5
"Cordarrelle Patterson",WR,-,-,17.4%,16.9
"Corey Brown",WR,21.6,2012,26.7%,10.5
"Corey Coleman",WR,20.2,2014,44.2%,18.4
"Corey Davis",WR,18.7,2013,51.6%,16.8
"Corey Fuller",WR,22.2,2012,31.1%,19.0
"Corey Smith",WR,-,-,2.5%,9.2
"Corey Washington",WR,20.7,2012,48.3%,19.1
"Corey Willis",WR,21.4,2016,34.8%,13.2
"Cortrelle Simpson",WR,21.0,2017,34.1%,18.1
"Courtland Sutton",WR,19.9,2015,36.9%,16.2
"Courtney Roby",WR,19.7,2002,46.7%,14.7
"Curtis Samuel",WR,20.1,2016,29.0%,11.7
"D.J. Chark",WR,20.0,2016,25.3%,21.9
"D.J. Coles",WR,23.9,2013,25.5%,15.5
"D.J. Montgomery",WR,22.4,2017,42.7%,19.0
"D.J. Moore",WR,18.4,2015,53.3%,12.9
"D.K. Metcalf",WR,19.7,2017,32.1%,21.9
"Da'Mari Scott",WR,-,-,14.3%,12.5
"Da'Rick Rogers",WR,20.2,2011,42.9%,14.6
"Da'Ron Brown",WR,22.0,2013,35.6%,15.7
"DaMarkus Lodge",WR,20.3,2017,20.6%,15.3
"DaVaris Daniels",WR,19.7,2012,24.2%,15.2
"DaeSean Hamilton",WR,19.5,2014,25.4%,16.2
"Daikiel Shorts",WR,21.9,2016,23.0%,14.2
"Damaris Johnson",WR,18.8,2008,22.6%,15.3
"Damarr Aultman",WR,20.6,2012,23.4%,10.4
"Damian Copeland",WR,-,-,17.1%,13.4
"Damian Williams",WR,20.3,2008,37.4%,14.4
"Damiere Byrd",WR,20.6,2013,12.5%,16.4
"Damion Jeanpiere",WR,-,2016,25.8%,19.3
"Damion Ratley",WR,22.4,2017,24.3%,23.1
"Damion Willis",WR,21.2,2018,42.1%,15.6
"Damond Powell",WR,-,-,12.3%,16.7
"Damore'ea Stringfellow",WR,21.9,2016,20.6%,15.6
"Damoun Patterson",WR,23.0,2017,28.8%,17.3
"Danario Alexander",WR,21.1,2009,50.9%,15.8
"Dane Sanzenbacher",WR,20.9,2009,34.3%,17.2
"Daniel Braverman",WR,19.9,2013,40.0%,12.7
"Daniel Williams",WR,19.1,2014,37.0%,12.7
"Danny Amendola",WR,-,-,16.1%,11.4
"Danny Coale",WR,21.2,2009,21.4%,15.1
"Dante Pettis",WR,20.9,2016,31.6%,12.1
"Darius Davis",WR,23.5,2013,39.1%,22.5
"Darius Jennings",WR,21.2,2013,19.0%,14.1
"Darius Johnson",WR,19.5,2010,36.3%,12.3
"Darius Powe",WR,-,-,14.8%,11.9
"Darius Slayton",WR,-,2017,25.4%,19.1
"Darren Andrews",WR,22.1,2017,35.8%,12.9
"Darren Carrington",WR,20.9,2015,34.4%,14.0
"Darreus Rogers",WR,-,-,15.7%,12.4
"Darrius Heyward-Bey",WR,19.5,2006,30.6%,14.5
"Darrius Shepherd",WR,20.8,2016,35.2%,17.2
"Darryl Surgent",WR,-,-,19.3%,12.9
"Darvin Kidsy",WR,22.5,2017,38.5%,13.7
"Daurice Fountain",WR,19.7,2015,36.8%,14.3
"Davante Adams",WR,19.7,2012,40.7%,13.1
"David Gettis",WR,22.0,2009,23.1%,13.0
"David Moore",WR,19.6,2014,39.1%,15.4
"David Nelson",WR,-,-,9.9%,15.3
"David Reed",WR,22.5,2009,33.1%,14.7
"David Richards",WR,-,-,18.8%,12.7
"David Sills",WR,21.3,2017,33.9%,15.8
"Davion Davis",WR,20.9,2017,43.3%,10.9
"Davon Grayson",WR,22.0,2017,25.3%,15.0
"Davonte Allen",WR,22.5,2015,21.9%,12.3
"De'Mornay Pierson-El",WR,21.7,2017,20.2%,13.8
"DeAndre Carter",WR,20.4,2013,43.2%,13.3
"DeAndre Hopkins",WR,18.2,2010,39.3%,17.1
"DeAndre Reaves",WR,-,-,19.7%,12.6
"DeAndre Smelter",WR,22.8,2014,43.7%,20.4
"DeAndre Thompkins",WR,-,-,11.4%,13.2
"DeAndrew White",WR,-,-,14.8%,12.6
"DeAngelo Yancey",WR,18.8,2013,33.4%,19.4
"DeMario Bennett",WR,23.2,2012,20.7%,16.7
"DeSean Jackson",WR,18.8,2005,32.1%,14.9
"DeVante Parker",WR,19.6,2012,46.3%,19.9
"DeVier Posey",WR,19.5,2009,25.0%,16.0
"Deante' Gray",WR,20.5,2014,11.4%,14.0
"Dede Westbrook",WR,22.8,2016,38.2%,19.1
"Deebo Samuel",WR,20.6,2016,27.2%,14.2
"Delane Hart-Johnson",WR,19.8,2015,26.0%,15.4
"Demarcus Ayers",WR,21.2,2015,31.2%,12.5
"Demarcus Robinson",WR,20.0,2014,26.6%,13.1
"Demaryius Thomas",WR,19.7,2007,70.9%,25.1
"Denarius Moore",WR,19.7,2008,32.1%,20.9
"Dennis Parks",WR,21.1,2015,22.3%,15.1
"Deon Cain",WR,21.1,2017,27.1%,12.7
"Deon Long",WR,20.2,2011,31.1%,11.3
"Deon-Tay McManus",WR,-,-,14.4%,11.3
"Deondre Douglas",WR,20.0,2016,30.9%,9.8
"Deontay Burnett",WR,19.9,2017,30.6%,13.0
"Deonte Greenberry",WR,19.5,2013,34.2%,13.1
"Deonte Harris",WR,-,2017,36.3%,18.3
"Deonte Thompson",WR,-,-,13.3%,15.0
"Deontez Alexander",WR,19.1,2015,44.1%,22.0
"Derel Walker",WR,-,-,15.2%,16.0
"Derrick Johnson",WR,-,-,13.3%,10.1
"Derrick Willies",WR,-,-,14.5%,16.9
"Devante Davis",WR,19.9,2012,40.8%,16.2
"Devin Fuller",WR,-,-,14.1%,10.9
"Devin Funchess",WR,19.3,2013,41.4%,11.8
"Devin Gray",WR,21.2,2016,21.6%,15.3
"Devin Hester",WR,-,-,1.1%,-
"Devin Lucien",WR,22.2,2015,27.2%,16.3
"Devin Ross",WR,21.1,2016,18.4%,11.7
"Devin Smith",WR,20.5,2012,26.8%,28.2
"Devin Street",WR,20.4,2011,38.7%,16.7
"Devon Wylie",WR,21.0,2009,16.9%,12.8
"Devonte Boyd",WR,19.9,2014,33.3%,17.3
"Dez Bryant",WR,18.8,2007,62.5%,17.0
"Dezmin Lewis",WR,19.8,2012,28.0%,14.8
"Dillon Mitchell",WR,20.3,2017,35.6%,15.8
"Diontae Johnson",WR,20.8,2017,34.0%,16.4
"Diontae Spencer",WR,21.5,2013,28.8%,16.7
"Dom Williams",WR,22.7,2015,23.7%,13.9
"Domenik Hixon",WR,20.9,2005,33.5%,16.1
"Domonique Young",WR,-,-,13.6%,11.7
"Donnie Avery",WR,21.2,2005,34.7%,16.0
"Donte Foster",WR,21.8,2012,31.9%,14.8
"Donte Moncrief",WR,18.1,2011,32.1%,15.9
"Donteea Dye",WR,19.0,2012,42.7%,17.9
"Dontez Ford",WR,-,-,14.4%,18.2
"Dontre Wilson",WR,-,-,18.8%,13.0
"Dontrelle Inman",WR,21.6,2010,21.2%,16.0
"Dorial Green-Beckham",WR,20.4,2013,31.8%,15.0
"Dorian Baker",WR,-,2015,16.1%,10.6
"Dorren Miller",WR,23.1,2017,62.8%,23.5
"Doug Baldwin",WR,20.0,2008,27.0%,14.8
"Douglas McNeil",WR,22.1,2010,47.2%,19.6
"Dredrick Snelson",WR,20.4,2018,20.5%,16.0
"Dres Anderson",WR,21.1,2013,32.5%,18.9
"Drew Davis",WR,-,-,12.8%,11.2
"Drew Morgan",WR,20.8,2015,22.4%,12.4
"Duke Williams",WR,22.3,2014,19.3%,14.2
"Duron Carter",WR,-,-,6.5%,13.5
"Durron Neal",WR,-,-,14.7%,12.5
"Dwayne Bowe",WR,21.0,2005,35.4%,15.2
"Dwayne Harris",WR,22.0,2009,32.9%,11.1
"Dwayne Stanford",WR,-,-,9.6%,14.2
"Dylan Cantrell",WR,22.2,2016,19.4%,11.5
"Earl Bennett",WR,18.5,2005,38.4%,11.1
"Ed Eagan",WR,21.2,2014,32.1%,12.8
"Ed Williams",WR,22.5,2013,31.3%,23.0
"Eddie Royal",WR,20.3,2006,21.7%,15.0
"Eli Rogers",WR,18.7,2011,15.2%,11.7
"Emanuel Hall",WR,20.3,2017,35.7%,22.4
"Emmanuel Butler",WR,19.0,2015,42.9%,19.3
"Emmanuel Sanders",WR,19.5,2006,34.2%,13.7
"Emory Blake",WR,19.1,2010,41.5%,15.8
"Equanimeous St. Brown",WR,19.9,2016,25.2%,16.1
"Eric Decker",WR,20.5,2007,44.5%,15.2
"Eric Page",WR,18.0,2009,35.3%,9.5
"Eric Rogers",WR,18.6,2009,46.4%,14.3
"Eric Ward",WR,21.1,2011,24.0%,11.4
"Eric Weems",WR,19.2,2004,43.1%,13.3
"Evan Spencer",WR,20.3,2013,6.7%,9.9
"Ezell Ruffin",WR,21.5,2013,35.5%,16.4
"Felton Davis",WR,20.5,2017,46.5%,15.3
"Floyd Allen",WR,-,-,0.5%,11.0
"Francis Owusu",WR,-,-,11.3%,14.1
"Frank Stephens",WR,21.9,2017,24.5%,18.5
"Frankie Hammond",WR,-,-,19.4%,13.5
"Fred Brown",WR,-,-,9.6%,15.3
"Fred Ross",WR,21.3,2016,41.8%,12.7
"Freddie Martino",WR,19.0,2010,51.2%,11.5
"Gabe Marks",WR,21.1,2015,27.9%,10.8
"Garrett Johnson",WR,-,2015,23.9%,13.1
"Garry Brown",WR,20.1,2014,48.7%,16.2
"Gary Jennings",WR,20.5,2018,34.0%,17.0
"Gavin Lutman",WR,22.5,2013,34.1%,17.1
"Gehrig Dieter",WR,22.5,2015,15.9%,12.6
"Geraldo Boldewijn",WR,-,-,11.5%,13.5
"Geremy Davis",WR,20.7,2012,28.1%,11.8
"Geronimo Allison",WR,20.6,2014,24.5%,13.6
"Gerrard Sheppard",WR,-,-,14.5%,10.3
"Golden Tate",WR,20.1,2008,44.3%,16.1
"Grant Perry",WR,-,-,8.7%,9.8
"Greg Dortch",WR,19.3,2017,39.4%,12.1
"Greg Hardin",WR,20.0,2010,38.0%,17.2
"Greg Jennings",WR,22.0,2005,46.5%,12.8
"Greg Little",WR,20.3,2009,10.9%,11.7
"Greg Salas",WR,21.0,2009,34.0%,15.9
"Greg Ward",WR,-,-,5.1%,9.3
"Griff Whalen",WR,-,-,15.6%,13.4
"Hakeem Butler",WR,21.3,2017,43.5%,22.0
"Hakeem Nicks",WR,18.6,2006,52.2%,18.0
"Harry Douglas",WR,22.0,2006,30.1%,16.3
"Hunter Renfrow",WR,21.7,2017,23.7%,10.4
"Hunter Sharp",WR,20.4,2014,43.8%,11.8
"Isaac Whitney",WR,-,-,2.6%,12.3
"Isaac Zico",WR,-,2018,21.7%,16.2
"Isaiah Burse",WR,-,-,17.0%,10.3
"Isaiah Ford",WR,18.6,2014,35.5%,14.7
"Isaiah McKenzie",WR,21.4,2016,34.5%,14.4
"Ishmael Adams",WR,-,-,2.7%,8.9
"Ishmael Hyman",WR,-,-,14.5%,15.3
"Ishmael Zamora",WR,20.8,2016,30.2%,12.8
"Issac Blakeney",WR,21.8,2014,25.1%,11.9
"J'Mon Moore",WR,20.3,2015,27.6%,16.5
"J.J. Arcega-Whiteside",WR,19.7,2016,42.7%,16.8
"J.J. Jones",WR,-,-,8.5%,11.6
"J.J. Nelson",WR,21.4,2013,24.2%,18.7
"Ja-Mes Logan",WR,-,-,14.7%,13.3
"Jace Billingsley",WR,19.3,2012,30.8%,9.4
"Jace Davis",WR,19.0,2010,35.6%,17.0
"Jacoby Ford",WR,21.1,2008,27.5%,13.9
"Jaelen Strong",WR,19.6,2013,31.1%,14.2
"Jake Kumerow",WR,21.6,2013,40.7%,17.1
"Jake Lampman",WR,19.2,2012,25.7%,16.1
"Jake Wieneke",WR,20.0,2014,42.0%,17.0
"Jakeem Grant",WR,22.9,2015,25.4%,14.1
"Jakobi Meyers",WR,20.8,2017,24.8%,11.5
"Jaleel Scott",WR,22.5,2017,27.7%,14.2
"Jalen Greene",WR,22.2,2018,21.7%,15.7
"Jalen Guyton",WR,-,2017,22.2%,15.4
"Jalen Hurd",WR,22.6,2018,24.0%,13.7
"Jalen Robinette",WR,19.6,2013,48.8%,27.4
"Jalen Saunders",WR,18.9,2011,34.4%,12.0
"Jalen Tolliver",WR,19.7,2015,46.7%,16.6
"Jalen Williams",WR,-,2016,21.3%,19.3
"Jalin Marshall",WR,20.1,2015,24.8%,13.3
"Jamaal Jones",WR,21.6,2014,38.7%,16.2
"Jamal Custis",WR,22.8,2018,21.1%,17.8
"Jamal Robinson",WR,20.6,2013,35.8%,15.3
"Jamari Staples",WR,19.0,2013,18.5%,17.2
"Jamarius Way",WR,20.8,2017,38.6%,14.0
"James Gardner",WR,20.4,2016,21.1%,16.4
"James Jones",WR,22.4,2006,44.1%,12.8
"James Quick",WR,20.9,2015,22.6%,16.5
"James Washington",WR,18.4,2014,33.3%,20.2
"James Wright",WR,-,-,2.3%,13.4
"Jamire Jordan",WR,19.7,2015,18.3%,13.9
"Jamison Crowder",WR,19.2,2012,33.3%,12.3
"Janarion Grant",WR,23.8,2017,22.6%,10.4
"Jared Abbrederis",WR,20.7,2011,37.0%,13.9
"Jared Dangerfield",WR,-,-,17.9%,11.1
"Jared Green",WR,-,-,9.8%,18.1
"Jarius Wright",WR,21.8,2011,40.2%,16.9
"Jaron Brown",WR,-,-,11.2%,13.1
"Jarrett Boykin",WR,18.8,2008,29.9%,14.3
"Jarvis Landry",WR,19.8,2012,40.0%,15.5
"Jason Avant",WR,22.4,2005,36.2%,12.3
"Jason Moore",WR,-,2015,32.3%,16.1
"Jasper Collins",WR,18.8,2010,45.1%,18.4
"Javon Wims",WR,23.0,2017,28.2%,16.0
"Javone Lawson",WR,21.6,2011,28.2%,15.4
"Javontee Herndon",WR,22.1,2013,25.6%,14.1
"Jawill Davis",WR,20.4,2015,24.0%,16.7
"Jaxon Shipley",WR,19.1,2011,18.8%,11.2
"Jay Lee",WR,-,-,19.2%,19.9
"Jaydon Mickens",WR,19.4,2013,19.3%,11.1
"Jaylen Smith",WR,20.1,2017,23.9%,15.8
"Jayson Stanley",WR,-,-,0.3%,10.3
"Jaz Reynolds",WR,20.5,2011,15.5%,17.4
"Jazz Ferguson",WR,21.6,2018,36.1%,16.9
"Jeff Badet",WR,-,2016,16.4%,18.5
"Jeff Fuller",WR,18.4,2008,28.8%,13.3
"Jeff Janis",WR,20.2,2011,45.2%,18.9
"Jeff Maehl",WR,19.5,2008,36.4%,14.0
"Jeff Smith",WR,-,2016,20.4%,17.0
"Jehu Chesson",WR,21.7,2015,23.9%,14.8
"Jeremy Butler",WR,21.4,2012,50.8%,13.4
"Jeremy Gallon",WR,22.6,2012,42.7%,15.4
"Jeremy Johnson",WR,20.8,2012,26.6%,9.9
"Jeremy Kerley",WR,21.8,2010,26.9%,10.3
"Jeremy Maclin",WR,19.3,2007,29.5%,12.4
"Jeremy Ross",WR,-,-,7.3%,13.7
"Jermaine Jones",WR,-,-,19.1%,10.2
"Jermaine Kearse",WR,18.6,2008,36.1%,14.9
"Jerome Lane",WR,19.5,2015,33.2%,18.2
"Jerome Simpson",WR,18.6,2004,59.6%,17.0
"Jerrel Jernigan",WR,19.2,2008,21.8%,9.8
"Jerricho Cotchery",WR,19.2,2001,29.2%,15.9
"Jesper Horsted",WR,20.5,2017,48.8%,14.5
"Jester Weah",WR,21.6,2016,31.5%,20.6
"Jhajuan Seales",WR,-,-,14.2%,16.6
"Jimmie Hunt",WR,24.0,2014,27.2%,17.5
"JoJo Natson",WR,22.6,2016,33.7%,14.2
"Joe Morgan",WR,21.5,2009,49.3%,15.9
"Joe Parker",WR,-,-,14.3%,10.9
"Joe Walker",WR,22.7,2018,25.4%,19.7
"John Brown",WR,21.4,2011,42.4%,19.6
"John Harris",WR,22.8,2014,45.2%,15.5
"John Ross",WR,18.8,2014,34.1%,18.0
"John Ursua",WR,23.6,2017,43.4%,14.6
"Johnathan Lloyd",WR,22.8,2018,34.4%,11.8
"Johnnie Dixon",WR,-,-,15.8%,19.7
"Johnny Holton",WR,25.0,2015,22.0%,27.1
"Jon Baldwin",WR,19.1,2008,34.5%,17.5
"Jon Duhart",WR,19.2,2015,36.1%,14.1
"Jonah Trinnaman",WR,-,-,7.8%,12.1
"Jonathan Krause",WR,21.6,2013,23.8%,17.0
"Jon’Vea Johnson",WR,20.7,2016,25.2%,20.6
"Jordan Harris",WR,18.7,2010,40.8%,16.1
"Jordan Lasley",WR,19.8,2016,41.4%,18.3
"Jordan Leslie",WR,19.8,2011,28.5%,16.7
"Jordan Matthews",WR,18.1,2010,48.3%,13.2
"Jordan Norwood",WR,20.9,2007,26.1%,15.5
"Jordan Payton",WR,21.0,2014,27.2%,14.2
"Jordan Smallwood",WR,-,-,2.0%,9.7
"Jordan Taylor",WR,20.6,2012,32.5%,15.5
"Jordan Veasy",WR,22.2,2017,23.7%,12.9
"Jordan Westerkamp",WR,20.2,2014,30.5%,13.8
"Jordan Williams-Lambert",WR,19.3,2013,41.1%,12.8
"Jordy Nelson",WR,20.3,2005,49.6%,13.2
"Josh Barge",WR,20.9,2013,36.0%,14.3
"Josh Bellamy",WR,21.3,2010,16.9%,13.8
"Josh Boyce",WR,19.3,2010,31.3%,13.5
"Josh Cooper",WR,-,-,13.2%,10.1
"Josh Crockett",WR,21.5,2016,29.1%,16.4
"Josh Doctson",WR,18.8,2011,38.6%,16.8
"Josh Gordon",WR,19.4,2010,25.0%,17.0
"Josh Harper",WR,21.8,2013,31.5%,12.8
"Josh Huff",WR,20.9,2012,33.8%,18.4
"Josh Lenz",WR,21.0,2011,19.0%,14.8
"Josh Magee",WR,23.9,2015,32.1%,16.8
"Josh Malone",WR,20.5,2016,35.3%,19.4
"Josh Morgan",WR,20.2,2005,24.7%,12.0
"Josh Reynolds",WR,19.6,2014,39.7%,17.0
"Josh Stewart",WR,19.9,2012,20.3%,11.8
"Jovon Durante",WR,22.4,2018,33.1%,13.4
"JuJu Smith-Schuster",WR,18.8,2015,31.9%,14.7
"JuWann Winfree",WR,-,-,16.0%,11.6
"Julian Talley",WR,21.2,2010,30.2%,12.6
"Julian Williams",WR,-,-,11.1%,14.0
"Julio Jones",WR,19.6,2008,34.4%,14.5
"Junior Hemingway",WR,21.7,2010,24.8%,20.6
"Juron Criner",WR,19.7,2009,34.9%,13.8
"Justice Liggins",WR,-,-,18.5%,13.1
"Justin Blackmon",WR,20.7,2010,44.0%,14.3
"Justin Brown",WR,20.5,2011,19.8%,12.0
"Justin Hardy",WR,19.7,2011,31.6%,12.3
"Justin Hobbs",WR,21.4,2017,34.9%,13.7
"Justin Hunter",WR,19.3,2010,27.2%,14.8
