player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Billy Volek,768,QB,2,SD,32,31,3,1,0,50,0,0,0,9.7,33.3,81.9
Tyler Thigpen,3833,QB,1,MIA,9,8,2,1,0,34,1,0,0,25.0,50.0,135.4
Troy Smith,3790,QB,3,BLT,10,9,2,0,0,0,0,1,0,22.2,0.0,0.0
Chris Simms,1411,QB,2,DEN,22,17,2,0,0,0,0,1,0,11.8,0.0,0.0
Caleb Hanie,4674,QB,2,CHI,7,7,1,0,0,0,0,0,0,14.3,0.0,39.6
Joshua Cribbs,2544,WR,3,CLV,4,4,1,0,0,0,0,0,0,25.0,0.0,39.6
Kellen Clemens,2994,QB,3,NYJ,32,26,1,0,0,0,0,0,0,3.8,0.0,39.6
Ronnie Brown,2219,HB,4,MIA,7,6,1,0,0,0,0,0,0,16.7,0.0,39.6
Fred Jackson,3368,HB,1,BUF,1,1,1,1,0,27,1,0,0,100.0,100.0,158.3
Rex Grossman,1338,QB,1,HST,10,9,1,0,0,0,0,1,0,11.1,0.0,0.0
Matt Flynn,4523,QB,4,GB,13,12,1,0,0,0,0,0,0,8.3,0.0,39.6
Tim Castille,3906,FB,1,KC,1,1,1,0,0,0,0,1,0,100.0,0.0,0.0
Pat White,4967,QB,4,MIA,8,5,1,0,0,0,0,0,0,20.0,0.0,39.6
